claim,label,matched,llm_label,correct
The setting of Bongwater is Oregon.,SUPPORTS,['bongwater'],REFUTES,False
Britt Robertson works for an actress.,NOT ENOUGH INFO,['britt robertson'],SUPPORTS,False
Sheryl Lee appeared in Annie Hall.,NOT ENOUGH INFO,['sheryl lee'],REFUTES,False
Richard Kuklinski is alone.,NOT ENOUGH INFO,['richard kuklinski'],NOT ENOUGH INFO,True
UNESCO's City of Literature program is a section of its Creative Cities Network.,SUPPORTS,['unesco'],SUPPORTS,True
Luis Fonsi does not go by his given name on stage.,SUPPORTS,['luis fonsi'],SUPPORTS,True
Tinker Tailor Soldier Spy stars Colin Firth and Jonah Hill.,NOT ENOUGH INFO,['jonah hill'],REFUTES,False
A&E is a cable and satellite television network.,SUPPORTS,['a&e'],SUPPORTS,True
Ted Cruz was born in 1970.,SUPPORTS,['ted cruz'],SUPPORTS,True
Lou Gehrig got more votes than anyone else on the Major League Baseball All-Century Team in 1987.,REFUTES,['lou gehrig'],REFUTES,True
American Idol (season 8) had Simon Cowell as a contestant.,NOT ENOUGH INFO,"['simon cowell', 'idol']",REFUTES,False
Rupert Murdoch has been employed since at least 1979.,SUPPORTS,['rupert murdoch'],SUPPORTS,True
Fred Seibert has a career as a blues and rock record producer.,NOT ENOUGH INFO,['fred seibert'],SUPPORTS,False
Baz Luhrmann's film Australia is solely an epic historical romantic comedy.,SUPPORTS,['baz luhrmann'],REFUTES,False
A subsidiary of Walt Disney Studios distributed The Mighty Ducks.,NOT ENOUGH INFO,['disney'],SUPPORTS,False
Brazzers is a pornographic production company based in Montreal.,SUPPORTS,['brazzers'],SUPPORTS,True
Roswell was co-written by Jason Katims's daughter.,NOT ENOUGH INFO,"['roswell', 'jason katims']",NOT ENOUGH INFO,True
Gotham City Sirens was written by a woman.,REFUTES,['gotham city sirens'],SUPPORTS,False
Renato Balestra came from a family of mechanics.,REFUTES,['renato balestra'],REFUTES,True
Designated Survivor (TV series) was founded on ABC.,NOT ENOUGH INFO,['abc'],SUPPORTS,False
Annette Badland was not part of the cast of Doctor Who.,REFUTES,['annette badland'],REFUTES,True
Gaius Julius Caesar never participated in politics.,REFUTES,"['julius caesar', 'gaius julius caesar']",REFUTES,True
Murda Beatz is north Canadian.,NOT ENOUGH INFO,['murda beatz'],SUPPORTS,False
Chaka Khan had a music hit featuring at least one person.,SUPPORTS,['chaka khan'],SUPPORTS,True
Kyra Sedgwick has yet to have a role in a series.,REFUTES,['kyra sedgwick'],REFUTES,True
The Washington Monument is a copy of the Lincoln Memorial.,NOT ENOUGH INFO,['lincoln'],REFUTES,False
Bessie Smith sang the blues.,SUPPORTS,['bessie smith'],SUPPORTS,True
Shawn Carlson is American and German.,NOT ENOUGH INFO,['shawn carlson'],NOT ENOUGH INFO,True
"Matt Bomer was only born on May 11, 1977.",REFUTES,['matt bomer'],REFUTES,True
Sophia Bush was only in horror films.,REFUTES,['sophia bush'],REFUTES,True
"After Jawaharlal Nehru, Manmohan Singh was a prime minister.",SUPPORTS,['manmohan singh'],REFUTES,False
"The Lincoln-Douglas debates happened in Freeport, Illinois.",SUPPORTS,['lincoln'],SUPPORTS,True
Soyuz is still in service as a set of satellites.,NOT ENOUGH INFO,['soyuz'],REFUTES,False
Manchester United F.C. was never the world's highest-earning football club.,REFUTES,['manchester'],REFUTES,True
Chris Benoit's middle name is Jason.,REFUTES,['chris benoit'],REFUTES,True
Michaela Watkins full name is Michaela Ruth Watkins.,REFUTES,['michaela watkins'],SUPPORTS,False
PBS is a film distributor.,NOT ENOUGH INFO,['pbs'],REFUTES,False
Manchester United is based in New England.,REFUTES,['manchester'],REFUTES,True
"There are currently 15,882,417 Mormon members as of April 2017.",NOT ENOUGH INFO,['mormon'],SUPPORTS,False
Angela Bassett received a SAG Award.,NOT ENOUGH INFO,['angela bassett'],SUPPORTS,False
Sam Claflin is an actor in films like Pirates of the Caribbean.,NOT ENOUGH INFO,['sam claflin'],SUPPORTS,False
"Simón Bolívar died on December 17th, 1830 in Bolivia.",NOT ENOUGH INFO,['simón bolívar'],REFUTES,False
The Chrysler Building was the world's tallest building for 8 months.,REFUTES,['the chrysler building'],SUPPORTS,False
Freddie Highmore starred in the television series Bates Motel.,SUPPORTS,['freddie highmore'],SUPPORTS,True
Manchester by the Sea has grossed money.,SUPPORTS,['manchester'],SUPPORTS,True
B. R. Ambedkar lived in Bhutan.,NOT ENOUGH INFO,['b. r. ambedkar'],REFUTES,False
Prague's historic center was first included in the UNESCO list of World Heritage Sites in 1992.,SUPPORTS,['unesco'],SUPPORTS,True
Gaius Julius Caesar was the uncle of a dictator.,NOT ENOUGH INFO,"['julius caesar', 'gaius julius caesar']",REFUTES,False
"Aleister Crowley was born on June 12, 1875.",REFUTES,['aleister crowley'],SUPPORTS,False
The first NBA Finals title Chris Bosh won was in 2012.,SUPPORTS,['nba'],SUPPORTS,True
Humphrey Bogart does acting.,SUPPORTS,['humphrey bogart'],SUPPORTS,True
Rick Ross made more than eight studio albums.,REFUTES,['rick ross'],SUPPORTS,False
Michael Vick has only ever played the sport of golf.,REFUTES,['michael vick'],REFUTES,True
Eva Green had the lead role in The Dreamers.,NOT ENOUGH INFO,['eva green'],SUPPORTS,False
Damon Albarn has released something.,SUPPORTS,['damon albarn'],SUPPORTS,True
Natasha Lyonne is not known as Natasha Bianca Lyonne Braunstein.,REFUTES,['natasha lyonne'],REFUTES,True
Marcus Bentley is a broadcaster.,SUPPORTS,['marcus bentley'],SUPPORTS,True
XHamster produces online content.,SUPPORTS,['xhamster'],SUPPORTS,True
Eva Green had a career in film.,SUPPORTS,['eva green'],SUPPORTS,True
Thomas Jefferson is incapable of being a presidential scholar.,NOT ENOUGH INFO,['thomas jefferson'],REFUTES,False
Villa Park hosted an event.,SUPPORTS,['villa park'],NOT ENOUGH INFO,False
Menace II Society is set in Montana.,REFUTES,['menace ii society'],REFUTES,True
Youtube is unranked.,REFUTES,['youtube'],NOT ENOUGH INFO,False
Annette Badland was in Wizards vs Aliens.,SUPPORTS,['annette badland'],SUPPORTS,True
"Weekly Idol is hosted by Jeong Hyeong-don, a comedian and actor.",NOT ENOUGH INFO,"['idol', 'jeong hyeong-don']",SUPPORTS,False
Blank Space is on a top 100 list in numerous countries.,NOT ENOUGH INFO,['blank space'],SUPPORTS,False
Richard Dawkins has yet to appear on the radio.,REFUTES,['richard dawkins'],NOT ENOUGH INFO,False
Dreamer (2005 film) was reviewed by John Gatins.,NOT ENOUGH INFO,['john gatins'],SUPPORTS,False
Miranda Otto began her film acting career at age 18.,SUPPORTS,['miranda otto'],SUPPORTS,True
Luis Fonsi is a prime minister.,REFUTES,['luis fonsi'],REFUTES,True
Thomas Jefferson retired from private office.,NOT ENOUGH INFO,['thomas jefferson'],SUPPORTS,False
Danny Brown named his third album XXXX.,REFUTES,['danny brown'],REFUTES,True
Automated teller machines are part of Bank of America.,SUPPORTS,['bank of america'],SUPPORTS,True
The Colosseum is in a city in Italy.,REFUTES,['colosseum'],SUPPORTS,False
Christian Gottlob Neefe was born in February 1748.,SUPPORTS,['christian gottlob neefe'],SUPPORTS,True
The Independent Spirit Awards are held in the hotel before the Academy Awards.,REFUTES,['the academy awards'],NOT ENOUGH INFO,False
Kevin Bacon was in the film Sleepers.,SUPPORTS,['kevin bacon'],SUPPORTS,True
Matthias Corvinus patronized art and science during the European Renaissance.,SUPPORTS,['matthias corvinus'],SUPPORTS,True
Paul von Hindenburg was a military officer.,SUPPORTS,['paul von hindenburg'],SUPPORTS,True
The House of the Spirits won awards.,SUPPORTS,['the house of the spirits'],SUPPORTS,True
"For five years, The Mod Squad was broadcast on ABC.",NOT ENOUGH INFO,"['the mod squad', 'abc']",SUPPORTS,False
"The Hungarian invasions were ended by Otto I, Holy Roman Emperor.",SUPPORTS,['otto i'],SUPPORTS,True
Jean-Michel Basquiat died in a restaurant.,NOT ENOUGH INFO,['jean-michel basquiat'],REFUTES,False
Anne Boleyn was in England in 1522.,SUPPORTS,['anne boleyn'],SUPPORTS,True
Ed Gagliardi permanently recovered from cancer.,REFUTES,['ed gagliardi'],REFUTES,True
"Doug Petrie only played ""Bad Horse"" in Dr. Horrible's Sing-Along Blog.",REFUTES,['doug petrie'],REFUTES,True
Jed Whedon is a Brazilian citizen.,NOT ENOUGH INFO,['jed whedon'],REFUTES,False
David Lloyd George was voted the third greatest British model of the 20th century.,NOT ENOUGH INFO,['david lloyd george'],REFUTES,False
US Airways Flight 1549 was piloted by Amelia Earhart and Charles Lindbergh.,REFUTES,['us airways'],REFUTES,True
"Diana, Princess of Wales was joined in matrimony.",NOT ENOUGH INFO,['wales'],SUPPORTS,False
Alberto Contador initially won the Grand Prix.,NOT ENOUGH INFO,['alberto contador'],NOT ENOUGH INFO,True
Ricardo Montalbán acted in film and television.,SUPPORTS,['ricardo montalbán'],SUPPORTS,True
Kaya Scodelario was nominated for two Emmy Award.,NOT ENOUGH INFO,['kaya scodelario'],REFUTES,False
"On October 11, 1977, Matt Bomer was born.",SUPPORTS,['matt bomer'],REFUTES,False
Charles Manson was the leader of what would later be known as the Manson Family.,SUPPORTS,['charles manson'],SUPPORTS,True
Diwali supports evil over good.,REFUTES,['diwali'],REFUTES,True
Gaius Julius Caesar died in 65 BC.,REFUTES,"['julius caesar', 'gaius julius caesar', 'bc']",REFUTES,True
Anne Rice was born in Fort Lauderdale.,REFUTES,['anne rice'],REFUTES,True
The Cyclades are in the statistically most dangerous region of the world.,NOT ENOUGH INFO,['cyclades'],REFUTES,False
Tim McGraw played a role in The Blind Side.,SUPPORTS,['tim mcgraw'],SUPPORTS,True
San Diego Comic-Con was not founded in 1970.,REFUTES,['san diego comic-con'],REFUTES,True
Paul von Hindenburg was a person.,SUPPORTS,['paul von hindenburg'],SUPPORTS,True
Tim McGraw had a supporting role in the Watergate scandal.,NOT ENOUGH INFO,['tim mcgraw'],REFUTES,False
Joe Rogan was a person.,SUPPORTS,['joe rogan'],SUPPORTS,True
Bethany Hamilton was a victim of a bear attack.,NOT ENOUGH INFO,['bethany hamilton'],REFUTES,False
"In the year 2009, Rick Ross made a record label.",SUPPORTS,['rick ross'],NOT ENOUGH INFO,False
The Office (US) debuted on ESPN.,REFUTES,['the office (us'],REFUTES,True
Stephen Hillenburg died in Oklahoma.,REFUTES,['stephen hillenburg'],REFUTES,True
Leonard Nimoy created a computer game.,NOT ENOUGH INFO,['leonard nimoy'],SUPPORTS,False
"Alice Cooper's full name is Vincent Damon Furnier, which was given to him at birth.",NOT ENOUGH INFO,['alice cooper'],SUPPORTS,False
José Ferrer played the part of Cyrano de Bergerac in 1947.,NOT ENOUGH INFO,['josé ferrer'],SUPPORTS,False
Island Records are involved with the community in Jamaica.,NOT ENOUGH INFO,['island records'],SUPPORTS,False
Charles de Gaulle is the basis of a German political stance.,NOT ENOUGH INFO,['charles de gaulle'],REFUTES,False
Henry III of France was succeeded by Henry IV.,SUPPORTS,['henry iii'],SUPPORTS,True
Liam Neeson has been nominated for a British Academy of Film and Television Arts Award for Best Actor.,SUPPORTS,"['liam neeson', 'best actor']",SUPPORTS,True
Harold Macmillan was fully German.,REFUTES,['harold macmillan'],REFUTES,True
Michaela Watkins is American.,SUPPORTS,['michaela watkins'],SUPPORTS,True
Jack Dylan Grazer's grandparents are Angela Lafever and Gavin Grazer.,REFUTES,['jack dylan grazer'],SUPPORTS,False
Folklore includes bears.,NOT ENOUGH INFO,['folklore'],SUPPORTS,False
Cary Elwes is illiterate.,REFUTES,['cary elwes'],REFUTES,True
Antigua has a native population known as the Antiguan.,NOT ENOUGH INFO,['antigua'],REFUTES,False
Tom DeLonge formed a band on a space station.,NOT ENOUGH INFO,['tom delonge'],REFUTES,False
Sausage Party was only written by Barack Obama.,REFUTES,['barack obama'],REFUTES,True
Noel Fisher starred in True Detective.,NOT ENOUGH INFO,['noel fisher'],SUPPORTS,False
Ashton Kutcher was co-stars with Emma Watson.,NOT ENOUGH INFO,"['ashton kutcher', 'emma watson']",REFUTES,False
Randy Savage wears his hair long.,NOT ENOUGH INFO,['randy savage'],SUPPORTS,False
Bruce Shand was awarded the Military Cross.,SUPPORTS,['bruce shand'],SUPPORTS,True
Alvin and the Chipmunks is a Canadian film.,REFUTES,['alvin'],REFUTES,True
The maximum elevation in the Hindu Kush is 7708 meters at K2.,REFUTES,['kush'],REFUTES,True
"Richard Dawson's date of birth was November 20, 1932.",SUPPORTS,['richard dawson'],SUPPORTS,True
Jennifer Lopez's The Remixes was not the first in history to debut at number one on the U.S. Billboard 200.,REFUTES,['jennifer lopez'],REFUTES,True
Temple Grandin is only a 2013 documentary film.,REFUTES,['temple grandin'],REFUTES,True
Harold Macmillan died in 1986.,SUPPORTS,['harold macmillan'],SUPPORTS,True
"Simon Pegg was born on February 14th, 1860.",REFUTES,['simon pegg'],REFUTES,True
Larry Wilmore is American.,SUPPORTS,['larry wilmore'],SUPPORTS,True
Renato Balestra came from a family.,SUPPORTS,['renato balestra'],SUPPORTS,True
Jean-Michel Basquiat died in his studio.,SUPPORTS,['jean-michel basquiat'],REFUTES,False
Stephen Moyer and Ron Perlman worked together.,SUPPORTS,['stephen moyer'],SUPPORTS,True
Lizzy Caplan is incapable of starring in television show like Party Down.,REFUTES,['lizzy caplan'],REFUTES,True
Bradley Fuller is a plumber.,NOT ENOUGH INFO,['bradley fuller'],NOT ENOUGH INFO,True
"Baz Luhrmann's film Australia stars an Australian actor, singer, and pet owner.",NOT ENOUGH INFO,['baz luhrmann'],NOT ENOUGH INFO,True
The Chrysler Building was surpassed in height in 2008.,NOT ENOUGH INFO,['the chrysler building'],REFUTES,False
Emma Watson was born in the 15th of April 1990.,SUPPORTS,['emma watson'],REFUTES,False
Sonny & Cher are R&B singers.,NOT ENOUGH INFO,['cher'],REFUTES,False
Bea Arthur was born under a different name.,SUPPORTS,['bea arthur'],SUPPORTS,True
Marjorie Gross wrote for a television show on ABC.,NOT ENOUGH INFO,"['abc', 'marjorie gross']",SUPPORTS,False
Jamie Lee Curtis starred in John Carpenter's Halloween.,SUPPORTS,['jamie lee curtis'],SUPPORTS,True
Carlos Santana is a comedian.,REFUTES,['carlos santana'],REFUTES,True
The Nine Network had a live broadcast of the latest ceremony of the Logie Awards.,NOT ENOUGH INFO,['logie awards'],NOT ENOUGH INFO,True
James Brolin was born in Georgia.,NOT ENOUGH INFO,['james brolin'],REFUTES,False
The Late Show with Stephen Colbert is hosted by Stephen Colbert.,SUPPORTS,['stephen colbert'],SUPPORTS,True
Ed Gagliardi died of brain cancer.,NOT ENOUGH INFO,['ed gagliardi'],REFUTES,False
Harvard University is a thousand square feet.,NOT ENOUGH INFO,['harvard university'],REFUTES,False
"Murda Beatz is from San Diego, California.",REFUTES,['murda beatz'],REFUTES,True
Pearl Jam is a rock band.,SUPPORTS,['pearl jam'],SUPPORTS,True
"The current President of Lockheed Martin, since 2010, is Marillyn Hewson.",NOT ENOUGH INFO,['lockheed'],REFUTES,False
Sabbir Khan made his film producing debut in 2009.,NOT ENOUGH INFO,['sabbir khan'],NOT ENOUGH INFO,True
Stephen King has published 54 novels.,SUPPORTS,['stephen king'],NOT ENOUGH INFO,False
Drake Bell doesn't sing.,REFUTES,"['drake', 'drake bell']",REFUTES,True
A.J. Styles won a championship.,SUPPORTS,['a.j. styles'],SUPPORTS,True
Gordon Ramsay has not promoted any chefs.,REFUTES,['gordon ramsay'],REFUTES,True
Drake Bell released an extended play in 2009.,NOT ENOUGH INFO,"['drake', 'drake bell']",SUPPORTS,False
Craig David has avoided performing popular music his entire life.,NOT ENOUGH INFO,['craig david'],REFUTES,False
Olympic medals displayed the Colosseum from 1928 to 2004.,SUPPORTS,['colosseum'],REFUTES,False
The White House Press Secretary is an official.,SUPPORTS,['the white house'],SUPPORTS,True
Janelle Monáe is a singer and a songwriter in Hollywood.,NOT ENOUGH INFO,['janelle monáe'],SUPPORTS,False
Soyuz is still in space.,NOT ENOUGH INFO,['soyuz'],NOT ENOUGH INFO,True
The Vandals were an East Germanic religion.,REFUTES,['vandals'],REFUTES,True
Tom DeLonge formed a band with Noam Chomsky and Tom Petty.,NOT ENOUGH INFO,['tom delonge'],REFUTES,False
Jean-Jacques Dessalines was a pacifist and was non-warring.,NOT ENOUGH INFO,['jean-jacques dessalines'],REFUTES,False
Cary Elwes writes.,SUPPORTS,['cary elwes'],SUPPORTS,True
The Hindu Kush is a mountain range.,SUPPORTS,['kush'],SUPPORTS,True
Valencia is in a country.,SUPPORTS,['valencia'],SUPPORTS,True
L.A. Reid has been the CEO of Arista Records.,SUPPORTS,"['l.a. reid', 'arista records']",SUPPORTS,True
Oscar de la Hoya was The Ring magazine's top-rated fighter in the world in 1997.,NOT ENOUGH INFO,['oscar de la hoya'],SUPPORTS,False
Sean Gunn has no experience as an actor.,REFUTES,['sean gunn'],REFUTES,True
Jack Falahee is from America.,SUPPORTS,['jack falahee'],SUPPORTS,True
Animated programs have been produced by Fred Seibert.,SUPPORTS,['fred seibert'],SUPPORTS,True
Tinker Tailor Soldier Spy stars Ben Stiller.,NOT ENOUGH INFO,['ben stiller'],REFUTES,False
Michael Vick is a former football quarterback in the NFL.,SUPPORTS,['michael vick'],SUPPORTS,True
William Howard Taft only accepted offers of appointment to a United States court.,REFUTES,['william howard taft'],REFUTES,True
Pixar exclusively animated Despicable Me 2.,REFUTES,['pixar'],REFUTES,True
Liverpool was the town where The Beatles formed.,SUPPORTS,"['beatles', 'liverpool']",SUPPORTS,True
Antigua and Barbuda was named by Christopher Columbus in 1493.,SUPPORTS,"['antigua', 'barbuda']",REFUTES,False
The State of Palestine designates East Jerusalem as writers' quarter.,NOT ENOUGH INFO,['the state of palestine'],NOT ENOUGH INFO,True
Billie Joe Armstrong is an American farmer.,NOT ENOUGH INFO,['billie joe armstrong'],REFUTES,False
Vic Mensa has been nominated for a Grammy Award.,SUPPORTS,"['vic mensa', 'grammy']",SUPPORTS,True
Earl Scruggs played bluegrass music.,SUPPORTS,['earl scruggs'],SUPPORTS,True
Drake Bell put out an extended play in 2011.,SUPPORTS,"['drake', 'drake bell']",SUPPORTS,True
Kareem Abdul-Jabbar is not ranked 3rd all-time in blocks.,REFUTES,['kareem abdul-jabbar'],REFUTES,True
Jonah Hill made $16 million dollars in June of 2014.,REFUTES,['jonah hill'],NOT ENOUGH INFO,False
Aarhus is the seat of Aarhus municipality.,SUPPORTS,['aarhus'],SUPPORTS,True
Kenny Chesney is a philanthropist.,NOT ENOUGH INFO,['kenny chesney'],SUPPORTS,False
The first follower of Sikhism in office was Manmohan Singh.,NOT ENOUGH INFO,['manmohan singh'],SUPPORTS,False
"Bruce Shand died on Sunday, June 11th, 2006.",NOT ENOUGH INFO,['bruce shand'],SUPPORTS,False
Kareem Abdul-Jabbar is ranked 3rd all-time in free throws.,NOT ENOUGH INFO,['kareem abdul-jabbar'],REFUTES,False
Richard Dawson is dead.,SUPPORTS,['richard dawson'],SUPPORTS,True
Nestor Carbonell only starred in HBO series.,REFUTES,"['hbo', 'nestor carbonell']",REFUTES,True
Yara Shahidi is only German.,NOT ENOUGH INFO,['yara shahidi'],REFUTES,False
There is a French-British actress named Emma Watson.,SUPPORTS,['emma watson'],REFUTES,False
Kevin Bacon has yet to be in a film.,REFUTES,['kevin bacon'],REFUTES,True
Rupert Murdoch has worked since at least 1354.,REFUTES,['rupert murdoch'],REFUTES,True
James Brolin appeared in several 1990s sitcoms.,NOT ENOUGH INFO,['james brolin'],SUPPORTS,False
The World Trade Center was destroyed as the result of a series of TV shows.,NOT ENOUGH INFO,['the world trade center'],REFUTES,False
Caroline Kennedy is a lawyer.,NOT ENOUGH INFO,['caroline kennedy'],SUPPORTS,False
Connie Nielsen is a film actress.,SUPPORTS,['connie nielsen'],SUPPORTS,True
The New York Knicks dissolved the National Basketball Association (NBA).,NOT ENOUGH INFO,"['nba', 'the new york knicks']",REFUTES,False
Amancio Ortega is a business tycoon.,SUPPORTS,['amancio ortega'],SUPPORTS,True
Manchester United has had two coaches.,NOT ENOUGH INFO,['manchester'],NOT ENOUGH INFO,True
The Mormon population has been growing rapidly due to high birth and conversion rates.,SUPPORTS,['mormon'],SUPPORTS,True
Scandinavia does not include the remote Norwegian people of Svalbard and Jan Mayen.,NOT ENOUGH INFO,"['jan mayen', 'svalbard']",REFUTES,False
Larry Wilmore is only a director.,NOT ENOUGH INFO,['larry wilmore'],REFUTES,False
WGBH-TV is an American television station.,SUPPORTS,['wgbh-tv'],SUPPORTS,True
Sancho Panza is a character who appears exclusively in Harry Potter and the Chamber of Secrets.,REFUTES,['harry potter'],REFUTES,True
The ABC islands are part of the Arctic Ocean.,REFUTES,['abc'],REFUTES,True
Kendall Jenner is a driver.,REFUTES,['kendall jenner'],NOT ENOUGH INFO,False
Jack Dylan Grazer is a child of two people.,SUPPORTS,['jack dylan grazer'],SUPPORTS,True
"Janelle Monáe's full name is Janelle Monáe Robinson, given to her by her parents.",NOT ENOUGH INFO,['janelle monáe'],SUPPORTS,False
Miranda Otto has yet to begin her acting career.,REFUTES,['miranda otto'],REFUTES,True
Henry II of France has three sisters.,NOT ENOUGH INFO,['henry ii'],NOT ENOUGH INFO,True
Jed Whedon is a citizen.,SUPPORTS,['jed whedon'],NOT ENOUGH INFO,False
Tinker Tailor Soldier Spy only stars Adam Sandler.,REFUTES,['adam sandler'],REFUTES,True
Diwali is a award ceremony.,NOT ENOUGH INFO,['diwali'],REFUTES,False
Henry II of France died in a tournament held to celebrate the autumn.,REFUTES,['henry ii'],REFUTES,True
Jamie Murray is a Davis Cup maker.,NOT ENOUGH INFO,['jamie murray'],REFUTES,False
Trevor Griffiths is only a novelist.,REFUTES,['trevor griffiths'],REFUTES,True
Nina Jacobson was president of a General Motors subsidiary.,NOT ENOUGH INFO,['nina jacobson'],REFUTES,False
Earl Scruggs was a musician who played banjo.,SUPPORTS,['earl scruggs'],SUPPORTS,True
AMGTV does not have drama television programming.,REFUTES,['amgtv'],REFUTES,True
Margaret Thatcher was a person.,SUPPORTS,['margaret thatcher'],SUPPORTS,True
Multiple shows on Cartoon Network employed John DiMaggio.,SUPPORTS,['john dimaggio'],SUPPORTS,True
Bret Easton Ellis wrote the screenplay for a 2013 film and he was criticized for this.,NOT ENOUGH INFO,['bret easton ellis'],SUPPORTS,False
Kyle Maclachlan has been nominated for an Emmy award because of a television series called Twin Peaks.,SUPPORTS,['kyle maclachlan'],SUPPORTS,True
Recovery is Eminem's first album.,REFUTES,['eminem'],REFUTES,True
Ted Cruz has served as the senior Unites States Senator from Texas since 2014.,REFUTES,['ted cruz'],SUPPORTS,False
Liverpool is controlled by Lancashire.,NOT ENOUGH INFO,['liverpool'],REFUTES,False
The Vandals migrated around Europe.,SUPPORTS,['vandals'],SUPPORTS,True
Weekly Idol is hosted by Michio Kaku.,REFUTES,['idol'],REFUTES,True
Luis Fonsi was born in Hawaii.,REFUTES,['luis fonsi'],REFUTES,True
Dave Gibbons is an Indian writer.,REFUTES,['dave gibbons'],REFUTES,True
John Dolmayan is a bear.,REFUTES,['john dolmayan'],REFUTES,True
Bethany Hamilton engaged in water sports.,SUPPORTS,['bethany hamilton'],SUPPORTS,True
ASAP Rocky is only a music video actor.,REFUTES,['asap rocky'],REFUTES,True
"Bank of America has 4,600 retail financial employees.",NOT ENOUGH INFO,['bank of america'],NOT ENOUGH INFO,True
Taarak Mehta Ka Ooltah Chashmah is not produced by Neela Tele Films Private Limited.,REFUTES,['taarak mehta'],REFUTES,True
Luis Fonsi uses a pseudonym.,SUPPORTS,['luis fonsi'],REFUTES,False
Alexandra Daddario identifies as an American.,NOT ENOUGH INFO,['alexandra daddario'],SUPPORTS,False
Danger UXB has an all-female cast.,REFUTES,['uxb'],REFUTES,True
Spider-Man 2 was written by Alvin Sargent in 2003.,REFUTES,['alvin'],SUPPORTS,False
Robert Palmer (writer) is involved in media.,SUPPORTS,['robert palmer'],SUPPORTS,True
Anushka Sharma is not an actress.,REFUTES,['anushka sharma'],REFUTES,True
"Stephen Hillenburg was fascinated with the ocean as a child, leading him to create Spongebob Squarepants.",SUPPORTS,"['spongebob squarepants', 'stephen hillenburg']",SUPPORTS,True
Mick Thomson was born in Iowa.,SUPPORTS,['mick thomson'],SUPPORTS,True
Nina Jacobson's birthday is in 1965.,NOT ENOUGH INFO,['nina jacobson'],NOT ENOUGH INFO,True
Tijuana is on the Baja California Peninsula.,SUPPORTS,['tijuana'],SUPPORTS,True
The White House Press Secretary is a Kremlin official.,REFUTES,['the white house'],REFUTES,True
Eva Mendes has only ever been a singer.,REFUTES,['eva mendes'],REFUTES,True
Mary-Kate Olsen and Ashley Olsen are designers.,SUPPORTS,"['mary-kate olsen', 'ashley olsen']",SUPPORTS,True
Michaela Watkins is British.,NOT ENOUGH INFO,['michaela watkins'],REFUTES,False
Simon Cowell was not a part of a reality show.,REFUTES,['simon cowell'],REFUTES,True
