claim,subject,predicate,object,object_queried,property_id,confidence,route,mapping_source,kg_result,kg_retrieved,entity_exists,match_direction
Christa McAuliffe taught social studies at Concord High School.,Christa McAuliffe,teach,,,,low,semantic_search,none,pending_semantic,,,
Colin Kaepernick is a poker player.,Colin Kaepernick,be,poker player,poker player,P106,high,kg_exact_match,rule,no_match,,True,
Sheryl Lee has yet to appear in a film as of 2016.,Sheryl Lee,have,,,,low,semantic_search,none,pending_semantic,,,
The highest point of the Hindu Kush is Everest.,point,be,everest,everest,P39,medium,kg_retrieve,rule,not_found,,False,
Weekly Idol is hosted by Yoo Jae Suk.,Idol,host,,,,low,semantic_search,none,pending_semantic,,,
Ashton Kutcher was directed by George Clooney.,Ashton Kutcher,directed_by,,,,low,semantic_search,none,pending_semantic,,,
Wales' population changed.,Wales,change,,,,low,semantic_search,none,pending_semantic,,,
Youtube is not a website.,Youtube,be,website,website,P106,high,kg_exact_match,rule,no_match,,True,
In 1971 Asylum Records the American record label was founded by David Geffen and his partner Elliot Roberts.,record label,asylum records,,,,low,semantic_search,none,pending_semantic,,,
The Armenian Genocide was the killing of Armenians who were mostly Ottoman natives.,Armenian Genocide,be,,,,low,semantic_search,none,pending_semantic,,,
There is a British actor name Marcus Bentley.,,be,bentley,bentley,P39,medium,semantic_search,rule,pending_semantic,,,
The first inauguration of Bill Clinton made him the 50th President of the United States.,inauguration,make,,,,low,semantic_search,none,pending_semantic,,,
John Dolmayan was born in northern Lebanon.,John Dolmayan,born,Lebanon,lebanon,P19,high,kg_exact_match,rule,no_match,,True,
"Bruce Shand was born on September 22nd, 1917.",Bruce Shand,born,"September 22nd, 1917",1917-09-22,P569,high,kg_exact_match,rule,no_match,,True,
Alexandra Daddario is Canadian.,Alexandra Daddario,be,Canada,canada,P27,high,kg_exact_match,rule,no_match,,True,
Ralph Fults was born January 23 1911 and died in prison.,Ralph Fults,born,January 23 1911,1911-01-23,P569,high,kg_exact_match,rule,match,,,
Drake Bell put out an extended play in 2011.,Drake Bell,put,,,,low,semantic_search,none,pending_semantic,,,
The 14th Dalai Lama lives in Japan exclusively.,Dalai Lama,live,,,,low,semantic_search,none,pending_semantic,,,
Telemundo is owned by ESPN.,Telemundo,owned_by,ESPN,espn,P127,high,kg_exact_match,semantic_assist,property_not_in_kg,,,
Caroline Kennedy is American.,Caroline Kennedy,be,United States,united states,P27,high,kg_exact_match,rule,match,,,
Anne Rice was born in Fort Lauderdale.,Anne Rice,born,Fort Lauderdale,fort lauderdale,P19,high,kg_exact_match,rule,no_match,,True,
Stephen Hillenburg was fascinated with politics as a student.,Stephen Hillenburg,fascinate,,,,low,semantic_search,none,pending_semantic,,,
The Mod Squad is a series that fits into the genre of crime drama.,Mod Squad,be,series that fits into the of crime drama,series that fits into the of crime drama,P136,high,kg_exact_match,rule,no_match,,False,
Rupert Murdoch has control of The Galactic Empire.,Rupert Murdoch,have,,,,low,semantic_search,none,pending_semantic,,,
Smriti Mandhana is an Indian cricketer born in July.,Smriti Mandhana,be,India,india,P27,high,kg_exact_match,rule,match,,,
Emma Watson was born.,Emma Watson,born,,,P19,low,kg_retrieve,rule,retrieved,paris,,
Angela Bassett gave out a master of fine arts degree.,Angela Bassett,give,,,,low,semantic_search,none,pending_semantic,,,
The chairwoman of Lockheed Martin and the President are currently the same person.,chairwoman,be,same person,same person,P39,medium,kg_retrieve,rule,not_found,,False,
Paul Nicholls played Sam Casey in Law & Order: UK.,Paul Nicholls,played_in,,,,low,semantic_search,none,pending_semantic,,,
Rick Yune was on a series that cancelled on December 12.,Rick Yune,be,,,,low,semantic_search,none,pending_semantic,,,
Roar (song) is on the 2013 Katy Perry album Prism.,Roar,be,,,,low,semantic_search,none,pending_semantic,,,
Saturn Corporation is also known as Toyota LLC.,Saturn Corporation,know,,,,low,semantic_search,none,pending_semantic,,,
John Dolmayan is Armenian-American and Indian.,John Dolmayan,be,and,and,P106,high,kg_exact_match,rule,no_match,,True,
The Armenian Genocide took place in the Ottoman Empire and the Republic of Turkey.,Armenian Genocide,take,,,,low,semantic_search,none,pending_semantic,,,
AMGTV does not have drama television programming.,AMGTV,have,,,,low,semantic_search,none,pending_semantic,,,
Randy Savage has a motto.,Randy Savage,have,,,,low,semantic_search,none,pending_semantic,,,
"Don Bradman was called the ""greatest living Australian"" by Margaret Thatcher.",Don Bradman,call,,,,low,semantic_search,none,pending_semantic,,,
Margaret Thatcher was not the first woman to lead a major political party in the United Kingdom.,Margaret Thatcher,be,party,party,P39,medium,kg_retrieve,rule,retrieved,prime minister of the united kingdom | leader of the conservative party | first lord of the treasury | leader of the opposition | minister for the civil service,,
Randy Savage is a bug-collector.,Randy Savage,be,bug-collector,bug-collector,P106,high,kg_exact_match,rule,no_match,,True,
Diwali originated in India.,Diwali,originate,,,,low,semantic_search,none,pending_semantic,,,
Alice Cooper has been working in his field for over 50 years.,Alice Cooper,worked,over 50 years,over 50 years,P463,high,kg_exact_match,rule,property_not_in_kg,,,
Edmund H. North was a songwriter.,Edmund H. North,be,songwriter,songwriter,P106,high,kg_exact_match,rule,no_match,,True,
"Harold Macmillan died on December 29, 1886.",Harold Macmillan,died,"December 29, 1886",1886-12-29,P570,high,kg_exact_match,rule,no_match,,True,
Alexandra Daddario is a ballerina.,Alexandra Daddario,be,ballerina,ballerina,P106,high,kg_exact_match,rule,no_match,,True,
Part of the Hindu Kush is in Brazil.,Part,be,Brazil,brazil,P131,medium,kg_exact_match,rule,property_not_in_kg,,,
Stephen Colbert hosts guests.,Stephen Colbert,host,,,,low,semantic_search,none,pending_semantic,,,
Most of Ripon College's student body die on campus.,Most,died,,,P570,low,kg_retrieve,rule,not_found,,False,
Rupert Murdoch has control of News Corp and has been criticized.,Rupert Murdoch,have,,,,low,semantic_search,none,pending_semantic,,,
"Bessie Smith was married on April 15, 1894.",Bessie Smith,married,,,P26,low,kg_retrieve,rule,property_not_in_kg,,,
Anne Sullivan was born in April of 1866.,Anne Sullivan,born,April of 1866,1866-04,P569,high,kg_exact_match,rule,no_match,,True,
"Aleister Crowley was born on June 12, 1875.",Aleister Crowley,born,"June 12, 1875",1875-06-12,P569,high,kg_exact_match,rule,no_match,,True,
Poldark airs on HBO.,,air,,,,low,semantic_search,none,pending_semantic,,,
Tim Roth's full name is not Timothy Simon Roth.,Tim Roth,be,,,,low,semantic_search,none,pending_semantic,,,
"In 1986, Tatum O'Neal got married.",Tatum O'Neal,married,,,P26,low,kg_retrieve,rule,property_not_in_kg,,,
Nuuk is the largest military center of Greenland.,Nuuk,be,,,,low,semantic_search,none,pending_semantic,,,
Paris (Paris Hilton album) incorporates elements of German.,Paris,incorporate,,,,low,semantic_search,none,pending_semantic,,,
Janelle Monáe is a singer and a songwriter in Hollywood.,Janelle Monáe,be,singer,singer,P106,high,kg_exact_match,rule,match,,,
International students come to the University of Mississippi from 90 cities.,students,come,,,,low,semantic_search,none,pending_semantic,,,
Johanna Braddy is known to have no appearances on television.,Johanna Braddy,know,,,,low,semantic_search,none,pending_semantic,,,
Martin Van Buren was Secretary of State.,Martin Van Buren,be,secretary,secretary,P39,medium,kg_retrieve,rule,retrieved,ambassador | president of the united states | president-elect of the united states | vice president of the united states | united states secretary of state,,
Omar Khadr was a basketball player.,Omar Khadr,be,basketball player,basketball player,P106,high,kg_exact_match,rule,no_match,,True,
Derek Hough starred in an American film.,American film,stars_in,Derek Hough,derek hough,P161,medium,kg_retrieve,rule,not_found,,False,
Bad Romance is a single.,Bad Romance,be,single,single,P106,high,kg_exact_match,rule,no_match,,True,
Sophia Bush acted in movies.,Sophia Bush,act,,,,low,semantic_search,none,pending_semantic,,,
Rupert Murdoch is the Chairman of FOX News.,Rupert Murdoch,be,chairman,chairman,P106,high,kg_exact_match,rule,no_match,,True,
Gal Gadot was ranked behind Esti Ginzburg for highest earning actress/models in Israel.,Gal Gadot,rank,,,,low,semantic_search,none,pending_semantic,,,
Creedence Clearwater Revival was a string quartet.,Clearwater Revival,be,string quartet,string quartet,P106,high,kg_exact_match,rule,no_match,,False,
Wales has a small region rich in coal deposits.,Wales,have,,,,low,semantic_search,none,pending_semantic,,,
"Rio's sequel was released on April 11, 2012.",Rio,released,,,,low,semantic_search,none,pending_semantic,,,
Peking University is in Thailand.,Peking University,be,Thailand,thailand,P131,medium,kg_exact_match,rule,property_not_in_kg,,,
Lemmy had a distinct gravelly voice that made him known.,Lemmy,have,,,,low,semantic_search,none,pending_semantic,,,
Baz Luhrmann's film Australia stars Nicole Kidman.,Baz Luhrmann's,stars_in,,,,low,semantic_search,none,pending_semantic,,,
Michael Vick is only Armenian.,Michael Vick,be,Armenia,armenia,P27,high,kg_exact_match,rule,no_match,,True,
Folklore includes proverbs.,Folklore,include,,,,low,semantic_search,none,pending_semantic,,,
James Jones won a contest.,James Jones,won,contest,contest,P166,high,kg_exact_match,rule,property_not_in_kg,,,
Humphrey Bogart was ranked greatest male star of Classic American cinema.,Humphrey Bogart,rank,,,,low,semantic_search,none,pending_semantic,,,
Rick Yune was on a tv series with Marco Polo.,Rick Yune,be,,,,low,semantic_search,none,pending_semantic,,,
Tom Baker has narrated American video games.,Tom Baker,narrate,,,,low,semantic_search,none,pending_semantic,,,
The Hanford Site is unable to host the Pacific Northwest National Laboratory.,Hanford Site,be,,,,low,semantic_search,none,pending_semantic,,,
The White House Press Secretary is a celebrity.,Press Secretary,be,celebrity,celebrity,P39,medium,kg_retrieve,rule,not_found,,False,
Kelly Preston starred in the film Broken Bridges.,film Broken Bridges,stars_in,Kelly Preston,kelly preston,P161,medium,kg_retrieve,rule,not_found,,False,
"Despacito had multiple versions as of May 5, 2016.",Despacito,have,,,,low,semantic_search,none,pending_semantic,,,
Terry Crews was a linebacker for the Patriots.,Terry Crews,be,linebacker,linebacker,P39,medium,kg_retrieve,rule,not_found,,True,
Lost was on FOX.,Lost,be,FOX,fox,P463,high,kg_exact_match,semantic_assist,property_not_in_kg,,,
Mud was made before Matthew McConaughey was born.,Mud,make,,,,low,semantic_search,none,pending_semantic,,,
Robert Palmer (writer) has written for the New York Times.,Robert Palmer,appositive,,,P106,high,kg_exact_match,rule,skip_missing_fields,,,
Mount Rushmore was built by Gutzon Borglum and his nephew Lincoln Borglum.,Mount Rushmore,build,,,,low,semantic_search,none,pending_semantic,,,
"The Lincoln-Douglas debates happened in Freeport, Illinois.",Douglas debates,happen,,,,low,semantic_search,none,pending_semantic,,,
Anne Rice was born in 1997.,Anne Rice,born,1997,1997,P569,high,kg_exact_match,rule,no_match,,True,
Bret Easton Ellis wrote the screenplay for The Canyons.,Bret Easton Ellis,written_by,Canyons,canyons,P58,medium,kg_retrieve,semantic_assist,not_found,,True,
"The Lincoln-Douglas debates happened in Quincy, Illinois.",Douglas debates,happen,,,,low,semantic_search,none,pending_semantic,,,
Underdog stars Peter Dinklage as the lead role.,Underdog,stars_in,,,,low,semantic_search,none,pending_semantic,,,
"On February 2, 2013, Chris Kyle died.",Chris Kyle,died,"February 2, 2013",2013-02-02,P570,high,kg_exact_match,rule,match,,,
Brad Wilk died before helping to co-found Rage.,Brad Wilk,died,,,P570,low,kg_retrieve,rule,not_found,,True,
Janelle Monáe is part of a record label.,Janelle Monáe,be,record label,record label,P361,high,kg_exact_match,rule,property_not_in_kg,,,
AMGTV has Animal Rescue.,AMGTV,have,,,,low,semantic_search,none,pending_semantic,,,
About 55 percent of the University of Mississippi's income comes from California.,About 55 percent,come,,,,low,semantic_search,none,pending_semantic,,,
Aaron Burr was a department store that went out of business in the eighties.,Aaron Burr,be,out,out,P39,medium,kg_retrieve,rule,retrieved,vice president of the united states | united states senator | attorney general of new york | member of the new york state assembly,,
Soyuz was part of a space program.,Soyuz,be,space program,space program,P361,high,kg_exact_match,rule,property_not_in_kg,,,
Steve Ditko studied at the Cartoonist and Illustrators School.,Steve Ditko,study,,,,low,semantic_search,none,pending_semantic,,,
Tata Motors is a constituent of the last BSE SENSEX index.,Tata Motors,be,,,,low,semantic_search,none,pending_semantic,,,
Bhagat Singh was not a folk hero.,Bhagat Singh,be,folk hero,folk hero,P106,high,kg_exact_match,rule,no_match,,True,
James VI and I was a major single parliament for Scotland advocate.,I,james vi,,,,low,semantic_search,none,pending_semantic,,,
Danielle Cormack is an actress.,Danielle Cormack,be,actress,actress,P106,high,kg_exact_match,rule,no_match,,True,
Rob Sheridan is a Canadian graphic designer.,Rob Sheridan,be,graphic designer,graphic designer,P106,high,kg_exact_match,rule,match,,,
David Spade starred in Joe Dirt 2: Beautiful Loser.,Joe Dirt 2,stars_in,David Spade,david spade,P161,medium,kg_retrieve,rule,not_found,,False,
Angela Bassett is alive.,Angela Bassett,be,alive,alive,P106,high,kg_exact_match,rule,no_match,,True,
Stadium Arcadium featured John Frusciante.,Stadium Arcadium,feature,,,,low,semantic_search,none,pending_semantic,,,
Policies implemented by Margaret Thatcher came to be known as Thatcherism.,Policies,come,,,,low,semantic_search,none,pending_semantic,,,
Duff McKagan writes sometimes.,Duff McKagan,written_by,Duff McKagan,duff mckagan,P58,medium,kg_retrieve,semantic_assist,not_found,,True,
Tom Baker has reviewed commercials.,Tom Baker,review,,,,low,semantic_search,none,pending_semantic,,,
"Valencia has about 800,000 inhabitants, making it the third largest city in Spain.",Valencia,have,,,,low,semantic_search,none,pending_semantic,,,
Buffy Summers has been written by Kristy Swanson.,Buffy Summers,written_by,,,,low,semantic_search,none,pending_semantic,,,
Richard Alf was one of the founders of San Diego Comic-Con.,Richard Alf,be,one,one,P39,medium,kg_retrieve,rule,not_found,,False,
"Stanley Williams was an inmate in Los Angeles, California.",Stanley Williams,be,inmate,inmate,P39,medium,kg_retrieve,rule,not_found,,True,
Joe Walsh was inducted into the New Museum.,Joe Walsh,induct,New Museum,new museum,P463,high,kg_exact_match,semantic_assist,property_not_in_kg,,,
Michael Vick is an American.,Michael Vick,be,United States,united states,P27,high,kg_exact_match,rule,match,,,
Ashley Cole plays for the Portland Timbers.,Ashley Cole,played_in,Portland Timbers,portland timbers,P463,high,kg_exact_match,semantic_assist,property_not_in_kg,,,
Diwali is an American festival.,Diwali,be,,,,low,semantic_search,none,pending_semantic,,,
Viola Davis appeared in the television series Law & Order: Special Victims Unit in 2005.,Viola Davis,appeared_in,,,,low,semantic_search,none,pending_semantic,,,
Wentworth Miller made his screenwriting debut with the 2013 top-grossing film.,Wentworth Miller,make,,,,low,semantic_search,none,pending_semantic,,,
Carlos Santana disbanded Santana in 1965.,Carlos Santana,disband,,,,low,semantic_search,none,pending_semantic,,,
Annette Badland was unable to appear in Wizards vs Aliens.,Annette Badland,be,,,,low,semantic_search,none,pending_semantic,,,
"Bessie Smith was born breach on April 15, 1894.",Bessie Smith,born,"April 15, 1894",1894-04-15,P569,high,kg_exact_match,rule,match,,,
Michaela Watkins is British.,Michaela Watkins,be,United Kingdom,united kingdom,P27,high,kg_exact_match,rule,no_match,,True,
Chaka Khan has released at least five studio albums.,Chaka Khan,released,Chaka Khan,chaka khan,P264,high,kg_exact_match,semantic_assist,no_match,,True,
Janelle Monáe's full name is Janelle Monáe Robinson.,Janelle Monáe,be,,,,low,semantic_search,none,pending_semantic,,,
Taylor Lautner appeared on Modern Family.,Taylor Lautner,appeared_in,Modern Family,modern family,P463,high,kg_exact_match,semantic_assist,property_not_in_kg,,,
Liverpool is in Europe.,Liverpool,be,Europe,europe,P131,medium,kg_exact_match,rule,property_not_in_kg,,,
Brad Wilk was a member of Greta in 1980.,Brad Wilk,be,Greta,greta,P463,high,kg_exact_match,rule,property_not_in_kg,,,
Moonlight's filming began in 1815.,Moonlight,begin,,,,low,semantic_search,none,pending_semantic,,,
Ron Weasley is part of the Harry Potter series as the eponymous wizard's best friend.,Ron Weasley,be,Harry Potter series,harry potter series,P361,high,kg_exact_match,rule,property_not_in_kg,,,
Stephen Hillenburg was fascinated with the ocean as a child.,Stephen Hillenburg,fascinate,,,,low,semantic_search,none,pending_semantic,,,
Stephen Colbert is dissociated from The Late Show with Stephen Colbert.,Stephen Colbert,dissociate,,,,low,semantic_search,none,pending_semantic,,,
Taran Killam is a stage actor.,Taran Killam,be,actor,actor,P106,high,kg_exact_match,rule,match,,,
"Taylor Lautner had 3 different voice roles in ""What's New, Scooby-Doo?"".",Taylor Lautner,have,,,,low,semantic_search,none,pending_semantic,,,
The horse was domesticated on a broad scale by 3103 BC.,horse,domesticate,,,,low,semantic_search,none,pending_semantic,,,
Poldark airs on the BBC.,,air,,,,low,semantic_search,none,pending_semantic,,,
The New Orleans Pelicans play in the Eastern Conference of the NBA.,Eastern Conference of the,played_in,New Orleans Pelicans,new orleans pelicans,P161,medium,kg_retrieve,rule,not_found,,False,
The Quran is a WWE wrestler..,Quran,be,,,,low,semantic_search,none,pending_semantic,,,
Kim Jong-il works for the Eternal Chairman of the National Defence Commission.,Kim Jong-il,worked,Eternal Chairman of the National Defence Commission,eternal chairman of the national defence commission,P463,high,kg_exact_match,rule,property_not_in_kg,,,
Moonlight premiered at the Telluride Film Festival in 2016.,Moonlight,premier,,,,low,semantic_search,none,pending_semantic,,,
Matthias Corvinus was completely against the arts and sciences and tries actively to prevent them from happening.,Matthias Corvinus,be,,,,low,semantic_search,none,pending_semantic,,,
Annette Badland murdered Doomsday Dora in The Sparticle Mystery.,Annette Badland,murder,,,,low,semantic_search,none,pending_semantic,,,
Scotty Moore was a vegetarian.,Scotty Moore,be,vegetarian,vegetarian,P106,high,kg_exact_match,rule,no_match,,True,
Bethany Hamilton's biopic was produced by Sean McNamara.,Bethany Hamilton,produced,,,,low,semantic_search,none,pending_semantic,,,
Bad Romance was one of the worst-selling singles of all time.,Bad Romance,be,one,one,P39,medium,kg_retrieve,rule,not_found,,True,
Marjorie Gross has yet to write for a television show.,Marjorie Gross,have,,,,low,semantic_search,none,pending_semantic,,,
Manmohan Singh was elected again.,Manmohan Singh,elect,,,,low,semantic_search,none,pending_semantic,,,
Richard Dawkins has been awarded prestigious sports awards.,Richard Dawkins,award,prestigious sports awards,prestigious sports awards,P166,high,kg_exact_match,semantic_assist,property_not_in_kg,,,
Martin Van Buren refused to be Secretary of State.,Martin Van Buren,refuse,,,,low,semantic_search,none,pending_semantic,,,
Tim McGraw acted in The Blind Side.,Tim McGraw,act,,,,low,semantic_search,none,pending_semantic,,,
Gal Gadot was ranked as the fifth highest earning actress/models in Israel.,Gal Gadot,rank,,,,low,semantic_search,none,pending_semantic,,,
Ashton Kutcher was co-stars with Cameron Diaz.,Ashton Kutcher,be,costars,costars,P39,medium,kg_retrieve,rule,not_found,,True,
Eva Green made her film debut in 2006.,Eva Green,make,,,,low,semantic_search,none,pending_semantic,,,
Keith Urban was released by Bruno Mars.,Keith Urban,released,,,,low,semantic_search,none,pending_semantic,,,
In 2004 Paramore formed.,Paramore,formed,,,,low,semantic_search,none,pending_semantic,,,
Dreamer (2005 film) was the highest grossing film John Gatins is part of.,Dreamer,be,part,part,P39,medium,kg_retrieve,rule,not_found,,False,
Tilda Swinton is only Scottish.,Tilda Swinton,be,United Kingdom,united kingdom,P27,high,kg_exact_match,rule,match,,,
Liverpool is independent of West Lancanshire.,Liverpool,be,,,,low,semantic_search,none,pending_semantic,,,
Duane Chapman is an American citizen.,Duane Chapman,be,citizen,citizen,P106,high,kg_exact_match,rule,no_match,,True,
Rob Sheridan is from Alaska.,Rob Sheridan,be,Alaska,alaska,P27,high,kg_exact_match,rule,no_match,,True,
Peking University was founded in the eighteenth century.,Peking University,founded_by,,,,low,semantic_search,none,pending_semantic,,,
Middle-earth was created by British writer J. R. R. Tolkien.,Middle earth,create,,,,low,semantic_search,none,pending_semantic,,,
José Ferrer was a director.,José Ferrer,be,director,director,P106,high,kg_exact_match,rule,no_match,,True,
Harvard University closed down permanently.,Harvard University,close,,,,low,semantic_search,none,pending_semantic,,,
Ernest Medina participated in a Korean War mass killing.,Ernest Medina,participate,,,,low,semantic_search,none,pending_semantic,,,
Richard Dawkins writes books about atheism and politics.,Richard Dawkins,written_by,Richard Dawkins,richard dawkins,P58,medium,kg_retrieve,semantic_assist,not_found,,True,
Renato Balestra was born outside of Trieste.,Renato Balestra,born,,,P19,low,kg_retrieve,rule,retrieved,trieste,,
Don Bradman's status was recognized 50 years after his retirement.,Don Bradman,recognize,,,,low,semantic_search,none,pending_semantic,,,
Diwali spiritually signifies the victory of light over darkness.,Diwali,signify,,,,low,semantic_search,none,pending_semantic,,,
Anne Rice was born in Japan.,Anne Rice,born,Japan,japan,P19,high,kg_exact_match,rule,no_match,,True,
The maximum elevation in the Hindu Kush is at Tirichmir.,elevation,be,,,,low,semantic_search,none,pending_semantic,,,
"James Jones's nickname is not ""Champ"".",Champ,be,,,,low,semantic_search,none,pending_semantic,,,
Carlos Santana is a US president.,Carlos Santana,be,president,president,P106,high,kg_exact_match,rule,no_match,,True,
Stripes was the first significant film role for Leonard Nimoy.,Stripes,be,role,role,P39,medium,kg_retrieve,rule,not_found,,False,
Yara Shahidi is a dog.,Yara Shahidi,be,dog,dog,P106,high,kg_exact_match,rule,no_match,,True,
Miranda Otto began her film acting career at age 18.,Miranda Otto,begin,Miranda Otto,miranda otto,P112,medium,kg_retrieve,semantic_assist,not_found,,True,
Noah Cyrus is a younger sister of Miley Cyrus.,Noah Cyrus,be,younger sister,younger sister,P39,medium,kg_retrieve,rule,not_found,,True,
Carlos Santana is both American and Mexican.,Carlos Santana,be,United States,united states,P27,high,kg_exact_match,rule,no_match,,True,
Private Lives is a 1940 comedy in three acts by Noel Coward.,Lives,be,1940 comedy,1940 comedy,P39,medium,kg_retrieve,rule,not_found,,False,
Trevor Griffiths was born in an inner city area of Boston.,Trevor Griffiths,born,Boston,boston,P19,high,kg_exact_match,rule,no_match,,True,
WGBH-TV is a non-commercial educational PBS member television station.,WGBH-TV,be,,,,low,semantic_search,none,pending_semantic,,,
Jeong Hyeong-don was born in the 1970's.,Jeong Hyeong-don,born,1970,1970,P569,high,kg_exact_match,rule,no_match,,True,
Taran Killam is a father.,Taran Killam,be,father,father,P106,high,kg_exact_match,rule,no_match,,True,
Soyuz is still in service as a set of satellites.,Soyuz,be,,,,low,semantic_search,none,pending_semantic,,,
Craig David was nominated for an award.,Craig David,nominate,,,,low,semantic_search,none,pending_semantic,,,
Stanley Williams stayed in Cuba his whole life.,Stanley Williams,stay,,,,low,semantic_search,none,pending_semantic,,,
Jason Katims has made no contributions to Roswell.,Jason Katims,make,,,,low,semantic_search,none,pending_semantic,,,
Jeong Hyeong-don has refused to ever work under FNC Entertainment.,Jeong Hyeong-don,refuse,,,,low,semantic_search,none,pending_semantic,,,
