claim,label,matched,llm_label,correct,llm_verifier_label,has_evidence
Sophia Bush was only in horror films.,REFUTES,['sophia bush'],REFUTES,True,REFUTES,True
"After Jawaharlal Nehru, Manmohan Singh was a prime minister.",SUPPORTS,['manmohan singh'],REFUTES,False,NOT_ENOUGH_INFO,True
"The Lincoln-Douglas debates happened in Freeport, Illinois.",SUPPORTS,['lincoln'],SUPPORTS,True,NOT_ENOUGH_INFO,False
Soyuz is still in service as a set of satellites.,NOT_ENOUGH_INFO,['soyuz'],REFUTES,False,REFUTES,True
Manchester United F.C. was never the world's highest-earning football club.,REFUTES,['manchester'],REFUTES,True,NOT_ENOUGH_INFO,True
Chris Benoit's middle name is Jason.,REFUTES,['chris benoit'],REFUTES,True,REFUTES,True
Michaela Watkins full name is Michaela Ruth Watkins.,REFUTES,['michaela watkins'],SUPPORTS,False,NOT_ENOUGH_INFO,False
PBS is a film distributor.,NOT_ENOUGH_INFO,['pbs'],REFUTES,False,REFUTES,True
Manchester United is based in New England.,REFUTES,['manchester'],REFUTES,True,REFUTES,True
"There are currently 15,882,417 Mormon members as of April 2017.",NOT_ENOUGH_INFO,['mormon'],SUPPORTS,False,NOT_ENOUGH_INFO,False
Angela Bassett received a SAG Award.,NOT_ENOUGH_INFO,['angela bassett'],SUPPORTS,False,SUPPORTS,True
Sam Claflin is an actor in films like Pirates of the Caribbean.,NOT_ENOUGH_INFO,['sam claflin'],SUPPORTS,False,NOT_ENOUGH_INFO,True
"Simón Bolívar died on December 17th, 1830 in Bolivia.",NOT_ENOUGH_INFO,['simón bolívar'],REFUTES,False,SUPPORTS,True
The Chrysler Building was the world's tallest building for 8 months.,REFUTES,['the chrysler building'],SUPPORTS,False,NOT_ENOUGH_INFO,False
Freddie Highmore starred in the television series Bates Motel.,SUPPORTS,['freddie highmore'],SUPPORTS,True,SUPPORTS,True
Manchester by the Sea has grossed money.,SUPPORTS,['manchester'],SUPPORTS,True,NOT_ENOUGH_INFO,True
B. R. Ambedkar lived in Bhutan.,NOT_ENOUGH_INFO,['b. r. ambedkar'],REFUTES,False,REFUTES,True
Prague's historic center was first included in the UNESCO list of World Heritage Sites in 1992.,SUPPORTS,['unesco'],SUPPORTS,True,NOT_ENOUGH_INFO,False
Gaius Julius Caesar was the uncle of a dictator.,NOT_ENOUGH_INFO,"['julius caesar', 'gaius julius caesar']",REFUTES,False,REFUTES,True
"Aleister Crowley was born on June 12, 1875.",REFUTES,['aleister crowley'],SUPPORTS,False,SUPPORTS,True
The first NBA Finals title Chris Bosh won was in 2012.,SUPPORTS,['nba'],SUPPORTS,True,NOT_ENOUGH_INFO,False
Humphrey Bogart does acting.,SUPPORTS,['humphrey bogart'],SUPPORTS,True,SUPPORTS,True
Rick Ross made more than eight studio albums.,REFUTES,['rick ross'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Michael Vick has only ever played the sport of golf.,REFUTES,['michael vick'],REFUTES,True,REFUTES,True
Eva Green had the lead role in The Dreamers.,NOT_ENOUGH_INFO,['eva green'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Damon Albarn has released something.,SUPPORTS,['damon albarn'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Natasha Lyonne is not known as Natasha Bianca Lyonne Braunstein.,REFUTES,['natasha lyonne'],REFUTES,True,NOT_ENOUGH_INFO,True
Marcus Bentley is a broadcaster.,SUPPORTS,['marcus bentley'],SUPPORTS,True,REFUTES,True
XHamster produces online content.,SUPPORTS,['xhamster'],SUPPORTS,True,SUPPORTS,True
Eva Green had a career in film.,SUPPORTS,['eva green'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Thomas Jefferson is incapable of being a presidential scholar.,NOT_ENOUGH_INFO,['thomas jefferson'],REFUTES,False,REFUTES,True
Villa Park hosted an event.,SUPPORTS,['villa park'],NOT_ENOUGH_INFO,False,NOT_ENOUGH_INFO,True
Menace II Society is set in Montana.,REFUTES,['menace ii society'],REFUTES,True,REFUTES,True
Youtube is unranked.,REFUTES,['youtube'],NOT_ENOUGH_INFO,False,SUPPORTS,True
Annette Badland was in Wizards vs Aliens.,SUPPORTS,['annette badland'],SUPPORTS,True,NOT_ENOUGH_INFO,True
"Weekly Idol is hosted by Jeong Hyeong-don, a comedian and actor.",NOT_ENOUGH_INFO,"['idol', 'jeong hyeong-don']",SUPPORTS,False,NOT_ENOUGH_INFO,False
Blank Space is on a top 100 list in numerous countries.,NOT_ENOUGH_INFO,['blank space'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Richard Dawkins has yet to appear on the radio.,REFUTES,['richard dawkins'],NOT_ENOUGH_INFO,False,NOT_ENOUGH_INFO,True
Dreamer (2005 film) was reviewed by John Gatins.,NOT_ENOUGH_INFO,['john gatins'],SUPPORTS,False,NOT_ENOUGH_INFO,False
Miranda Otto began her film acting career at age 18.,SUPPORTS,['miranda otto'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Luis Fonsi is a prime minister.,REFUTES,['luis fonsi'],REFUTES,True,REFUTES,True
Thomas Jefferson retired from private office.,NOT_ENOUGH_INFO,['thomas jefferson'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Danny Brown named his third album XXXX.,REFUTES,['danny brown'],REFUTES,True,NOT_ENOUGH_INFO,True
Automated teller machines are part of Bank of America.,SUPPORTS,['bank of america'],SUPPORTS,True,SUPPORTS,True
The Colosseum is in a city in Italy.,REFUTES,['colosseum'],SUPPORTS,False,SUPPORTS,True
Christian Gottlob Neefe was born in February 1748.,SUPPORTS,['christian gottlob neefe'],SUPPORTS,True,SUPPORTS,True
The Independent Spirit Awards are held in the hotel before the Academy Awards.,REFUTES,['the academy awards'],NOT_ENOUGH_INFO,False,NOT_ENOUGH_INFO,False
Kevin Bacon was in the film Sleepers.,SUPPORTS,['kevin bacon'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Matthias Corvinus patronized art and science during the European Renaissance.,SUPPORTS,['matthias corvinus'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Paul von Hindenburg was a military officer.,SUPPORTS,['paul von hindenburg'],SUPPORTS,True,SUPPORTS,True
The House of the Spirits won awards.,SUPPORTS,['the house of the spirits'],SUPPORTS,True,SUPPORTS,True
"For five years, The Mod Squad was broadcast on ABC.",NOT_ENOUGH_INFO,"['the mod squad', 'abc']",SUPPORTS,False,NOT_ENOUGH_INFO,False
"The Hungarian invasions were ended by Otto I, Holy Roman Emperor.",SUPPORTS,['otto i'],SUPPORTS,True,NOT_ENOUGH_INFO,False
Jean-Michel Basquiat died in a restaurant.,NOT_ENOUGH_INFO,['jean-michel basquiat'],REFUTES,False,NOT_ENOUGH_INFO,False
Anne Boleyn was in England in 1522.,SUPPORTS,['anne boleyn'],SUPPORTS,True,REFUTES,True
Ed Gagliardi permanently recovered from cancer.,REFUTES,['ed gagliardi'],REFUTES,True,REFUTES,True
"Doug Petrie only played ""Bad Horse"" in Dr. Horrible's Sing-Along Blog.",REFUTES,['doug petrie'],REFUTES,True,REFUTES,True
Jed Whedon is a Brazilian citizen.,NOT_ENOUGH_INFO,['jed whedon'],REFUTES,False,REFUTES,True
David Lloyd George was voted the third greatest British model of the 20th century.,NOT_ENOUGH_INFO,['david lloyd george'],REFUTES,False,REFUTES,True
US Airways Flight 1549 was piloted by Amelia Earhart and Charles Lindbergh.,REFUTES,['us airways'],REFUTES,True,NOT_ENOUGH_INFO,False
"Diana, Princess of Wales was joined in matrimony.",NOT_ENOUGH_INFO,['wales'],SUPPORTS,False,NOT_ENOUGH_INFO,False
Alberto Contador initially won the Grand Prix.,NOT_ENOUGH_INFO,['alberto contador'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,True
Ricardo Montalbán acted in film and television.,SUPPORTS,['ricardo montalbán'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Kaya Scodelario was nominated for two Emmy Award.,NOT_ENOUGH_INFO,['kaya scodelario'],REFUTES,False,NOT_ENOUGH_INFO,True
"On October 11, 1977, Matt Bomer was born.",SUPPORTS,['matt bomer'],REFUTES,False,SUPPORTS,True
Charles Manson was the leader of what would later be known as the Manson Family.,SUPPORTS,['charles manson'],SUPPORTS,True,SUPPORTS,True
Diwali supports evil over good.,REFUTES,['diwali'],REFUTES,True,NOT_ENOUGH_INFO,True
Gaius Julius Caesar died in 65 BC.,REFUTES,"['julius caesar', 'gaius julius caesar', 'bc']",REFUTES,True,NOT_ENOUGH_INFO,False
Anne Rice was born in Fort Lauderdale.,REFUTES,['anne rice'],REFUTES,True,SUPPORTS,True
The Cyclades are in the statistically most dangerous region of the world.,NOT_ENOUGH_INFO,['cyclades'],REFUTES,False,NOT_ENOUGH_INFO,True
Tim McGraw played a role in The Blind Side.,SUPPORTS,['tim mcgraw'],SUPPORTS,True,SUPPORTS,True
San Diego Comic-Con was not founded in 1970.,REFUTES,['san diego comic-con'],REFUTES,True,REFUTES,True
Paul von Hindenburg was a person.,SUPPORTS,['paul von hindenburg'],SUPPORTS,True,SUPPORTS,True
Tim McGraw had a supporting role in the Watergate scandal.,NOT_ENOUGH_INFO,['tim mcgraw'],REFUTES,False,REFUTES,True
Joe Rogan was a person.,SUPPORTS,['joe rogan'],SUPPORTS,True,SUPPORTS,True
Bethany Hamilton was a victim of a bear attack.,NOT_ENOUGH_INFO,['bethany hamilton'],REFUTES,False,REFUTES,True
"In the year 2009, Rick Ross made a record label.",SUPPORTS,['rick ross'],NOT_ENOUGH_INFO,False,SUPPORTS,True
The Office (US) debuted on ESPN.,REFUTES,['the office (us'],REFUTES,True,NOT_ENOUGH_INFO,False
Stephen Hillenburg died in Oklahoma.,REFUTES,['stephen hillenburg'],REFUTES,True,SUPPORTS,True
Leonard Nimoy created a computer game.,NOT_ENOUGH_INFO,['leonard nimoy'],SUPPORTS,False,REFUTES,True
"Alice Cooper's full name is Vincent Damon Furnier, which was given to him at birth.",NOT_ENOUGH_INFO,['alice cooper'],SUPPORTS,False,REFUTES,True
José Ferrer played the part of Cyrano de Bergerac in 1947.,NOT_ENOUGH_INFO,['josé ferrer'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Island Records are involved with the community in Jamaica.,NOT_ENOUGH_INFO,['island records'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Charles de Gaulle is the basis of a German political stance.,NOT_ENOUGH_INFO,['charles de gaulle'],REFUTES,False,REFUTES,True
Henry III of France was succeeded by Henry IV.,SUPPORTS,['henry iii'],SUPPORTS,True,REFUTES,True
Liam Neeson has been nominated for a British Academy of Film and Television Arts Award for Best Actor.,SUPPORTS,"['liam neeson', 'best actor']",SUPPORTS,True,REFUTES,True
Harold Macmillan was fully German.,REFUTES,['harold macmillan'],REFUTES,True,REFUTES,True
Michaela Watkins is American.,SUPPORTS,['michaela watkins'],SUPPORTS,True,SUPPORTS,True
Jack Dylan Grazer's grandparents are Angela Lafever and Gavin Grazer.,REFUTES,['jack dylan grazer'],SUPPORTS,False,REFUTES,True
Folklore includes bears.,NOT_ENOUGH_INFO,['folklore'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Cary Elwes is illiterate.,REFUTES,['cary elwes'],REFUTES,True,SUPPORTS,True
Antigua has a native population known as the Antiguan.,NOT_ENOUGH_INFO,['antigua'],REFUTES,False,NOT_ENOUGH_INFO,True
Tom DeLonge formed a band on a space station.,NOT_ENOUGH_INFO,['tom delonge'],REFUTES,False,NOT_ENOUGH_INFO,True
Sausage Party was only written by Barack Obama.,REFUTES,['barack obama'],REFUTES,True,NOT_ENOUGH_INFO,False
Noel Fisher starred in True Detective.,NOT_ENOUGH_INFO,['noel fisher'],SUPPORTS,False,SUPPORTS,True
Ashton Kutcher was co-stars with Emma Watson.,NOT_ENOUGH_INFO,"['ashton kutcher', 'emma watson']",REFUTES,False,NOT_ENOUGH_INFO,True
Randy Savage wears his hair long.,NOT_ENOUGH_INFO,['randy savage'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Bruce Shand was awarded the Military Cross.,SUPPORTS,['bruce shand'],SUPPORTS,True,SUPPORTS,True
Alvin and the Chipmunks is a Canadian film.,REFUTES,['alvin'],REFUTES,True,REFUTES,True
The maximum elevation in the Hindu Kush is 7708 meters at K2.,REFUTES,['kush'],REFUTES,True,NOT_ENOUGH_INFO,True
"Richard Dawson's date of birth was November 20, 1932.",SUPPORTS,['richard dawson'],SUPPORTS,True,SUPPORTS,True
Jennifer Lopez's The Remixes was not the first in history to debut at number one on the U.S. Billboard 200.,REFUTES,['jennifer lopez'],REFUTES,True,REFUTES,True
Temple Grandin is only a 2013 documentary film.,REFUTES,['temple grandin'],REFUTES,True,REFUTES,True
Harold Macmillan died in 1986.,SUPPORTS,['harold macmillan'],SUPPORTS,True,SUPPORTS,True
"Simon Pegg was born on February 14th, 1860.",REFUTES,['simon pegg'],REFUTES,True,SUPPORTS,True
Larry Wilmore is American.,SUPPORTS,['larry wilmore'],SUPPORTS,True,SUPPORTS,True
Renato Balestra came from a family.,SUPPORTS,['renato balestra'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Jean-Michel Basquiat died in his studio.,SUPPORTS,['jean-michel basquiat'],REFUTES,False,NOT_ENOUGH_INFO,False
Stephen Moyer and Ron Perlman worked together.,SUPPORTS,['stephen moyer'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Lizzy Caplan is incapable of starring in television show like Party Down.,REFUTES,['lizzy caplan'],REFUTES,True,REFUTES,True
Bradley Fuller is a plumber.,NOT_ENOUGH_INFO,['bradley fuller'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,True
"Baz Luhrmann's film Australia stars an Australian actor, singer, and pet owner.",NOT_ENOUGH_INFO,['baz luhrmann'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,False
The Chrysler Building was surpassed in height in 2008.,NOT_ENOUGH_INFO,['the chrysler building'],REFUTES,False,NOT_ENOUGH_INFO,False
Emma Watson was born in the 15th of April 1990.,SUPPORTS,['emma watson'],REFUTES,False,SUPPORTS,True
Sonny & Cher are R&B singers.,NOT_ENOUGH_INFO,['cher'],REFUTES,False,NOT_ENOUGH_INFO,False
Bea Arthur was born under a different name.,SUPPORTS,['bea arthur'],SUPPORTS,True,NOT_ENOUGH_INFO,False
Marjorie Gross wrote for a television show on ABC.,NOT_ENOUGH_INFO,"['abc', 'marjorie gross']",SUPPORTS,False,NOT_ENOUGH_INFO,True
Jamie Lee Curtis starred in John Carpenter's Halloween.,SUPPORTS,['jamie lee curtis'],SUPPORTS,True,SUPPORTS,True
Carlos Santana is a comedian.,REFUTES,['carlos santana'],REFUTES,True,REFUTES,True
The Nine Network had a live broadcast of the latest ceremony of the Logie Awards.,NOT_ENOUGH_INFO,['logie awards'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,False
James Brolin was born in Georgia.,NOT_ENOUGH_INFO,['james brolin'],REFUTES,False,SUPPORTS,True
The Late Show with Stephen Colbert is hosted by Stephen Colbert.,SUPPORTS,['stephen colbert'],SUPPORTS,True,NOT_ENOUGH_INFO,False
Ed Gagliardi died of brain cancer.,NOT_ENOUGH_INFO,['ed gagliardi'],REFUTES,False,NOT_ENOUGH_INFO,False
Harvard University is a thousand square feet.,NOT_ENOUGH_INFO,['harvard university'],REFUTES,False,REFUTES,True
"Murda Beatz is from San Diego, California.",REFUTES,['murda beatz'],REFUTES,True,SUPPORTS,True
Pearl Jam is a rock band.,SUPPORTS,['pearl jam'],SUPPORTS,True,SUPPORTS,True
"The current President of Lockheed Martin, since 2010, is Marillyn Hewson.",NOT_ENOUGH_INFO,['lockheed'],REFUTES,False,REFUTES,True
Sabbir Khan made his film producing debut in 2009.,NOT_ENOUGH_INFO,['sabbir khan'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,True
Stephen King has published 54 novels.,SUPPORTS,['stephen king'],NOT_ENOUGH_INFO,False,NOT_ENOUGH_INFO,True
Drake Bell doesn't sing.,REFUTES,"['drake', 'drake bell']",REFUTES,True,REFUTES,True
A.J. Styles won a championship.,SUPPORTS,['a.j. styles'],SUPPORTS,True,SUPPORTS,True
Gordon Ramsay has not promoted any chefs.,REFUTES,['gordon ramsay'],REFUTES,True,REFUTES,True
Drake Bell released an extended play in 2009.,NOT_ENOUGH_INFO,"['drake', 'drake bell']",SUPPORTS,False,NOT_ENOUGH_INFO,True
Craig David has avoided performing popular music his entire life.,NOT_ENOUGH_INFO,['craig david'],REFUTES,False,REFUTES,True
Olympic medals displayed the Colosseum from 1928 to 2004.,SUPPORTS,['colosseum'],REFUTES,False,NOT_ENOUGH_INFO,False
The White House Press Secretary is an official.,SUPPORTS,['the white house'],SUPPORTS,True,SUPPORTS,True
Janelle Monáe is a singer and a songwriter in Hollywood.,NOT_ENOUGH_INFO,['janelle monáe'],SUPPORTS,False,SUPPORTS,True
Soyuz is still in space.,NOT_ENOUGH_INFO,['soyuz'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,True
The Vandals were an East Germanic religion.,REFUTES,['vandals'],REFUTES,True,REFUTES,True
Tom DeLonge formed a band with Noam Chomsky and Tom Petty.,NOT_ENOUGH_INFO,['tom delonge'],REFUTES,False,REFUTES,True
Jean-Jacques Dessalines was a pacifist and was non-warring.,NOT_ENOUGH_INFO,['jean-jacques dessalines'],REFUTES,False,SUPPORTS,True
Cary Elwes writes.,SUPPORTS,['cary elwes'],SUPPORTS,True,REFUTES,True
The Hindu Kush is a mountain range.,SUPPORTS,['kush'],SUPPORTS,True,SUPPORTS,True
Valencia is in a country.,SUPPORTS,['valencia'],SUPPORTS,True,SUPPORTS,True
L.A. Reid has been the CEO of Arista Records.,SUPPORTS,"['l.a. reid', 'arista records']",SUPPORTS,True,NOT_ENOUGH_INFO,True
Oscar de la Hoya was The Ring magazine's top-rated fighter in the world in 1997.,NOT_ENOUGH_INFO,['oscar de la hoya'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Sean Gunn has no experience as an actor.,REFUTES,['sean gunn'],REFUTES,True,REFUTES,True
Jack Falahee is from America.,SUPPORTS,['jack falahee'],SUPPORTS,True,SUPPORTS,True
Animated programs have been produced by Fred Seibert.,SUPPORTS,['fred seibert'],SUPPORTS,True,NOT_ENOUGH_INFO,False
Tinker Tailor Soldier Spy stars Ben Stiller.,NOT_ENOUGH_INFO,['ben stiller'],REFUTES,False,NOT_ENOUGH_INFO,False
Michael Vick is a former football quarterback in the NFL.,SUPPORTS,['michael vick'],SUPPORTS,True,SUPPORTS,True
William Howard Taft only accepted offers of appointment to a United States court.,REFUTES,['william howard taft'],REFUTES,True,NOT_ENOUGH_INFO,True
Pixar exclusively animated Despicable Me 2.,REFUTES,['pixar'],REFUTES,True,REFUTES,True
Liverpool was the town where The Beatles formed.,SUPPORTS,"['beatles', 'liverpool']",SUPPORTS,True,NOT_ENOUGH_INFO,True
Antigua and Barbuda was named by Christopher Columbus in 1493.,SUPPORTS,"['antigua', 'barbuda']",REFUTES,False,REFUTES,True
The State of Palestine designates East Jerusalem as writers' quarter.,NOT_ENOUGH_INFO,['the state of palestine'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,False
Billie Joe Armstrong is an American farmer.,NOT_ENOUGH_INFO,['billie joe armstrong'],REFUTES,False,NOT_ENOUGH_INFO,True
Vic Mensa has been nominated for a Grammy Award.,SUPPORTS,"['vic mensa', 'grammy']",SUPPORTS,True,NOT_ENOUGH_INFO,True
Earl Scruggs played bluegrass music.,SUPPORTS,['earl scruggs'],SUPPORTS,True,SUPPORTS,True
Drake Bell put out an extended play in 2011.,SUPPORTS,"['drake', 'drake bell']",SUPPORTS,True,NOT_ENOUGH_INFO,True
Kareem Abdul-Jabbar is not ranked 3rd all-time in blocks.,REFUTES,['kareem abdul-jabbar'],REFUTES,True,NOT_ENOUGH_INFO,True
Jonah Hill made $16 million dollars in June of 2014.,REFUTES,['jonah hill'],NOT_ENOUGH_INFO,False,NOT_ENOUGH_INFO,True
Aarhus is the seat of Aarhus municipality.,SUPPORTS,['aarhus'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Kenny Chesney is a philanthropist.,NOT_ENOUGH_INFO,['kenny chesney'],SUPPORTS,False,SUPPORTS,True
The first follower of Sikhism in office was Manmohan Singh.,NOT_ENOUGH_INFO,['manmohan singh'],SUPPORTS,False,REFUTES,True
