claim,subject,predicate,object_raw,object_text,property_id,confidence,route,mapping_source,semantic_score,relation_phrase,object
The Armenian Genocide was the killing of Armenians who were mostly Ottoman natives.,Armenian Genocide,be,the killing of Armenians who were mostly Ottoman natives,,,low,semantic_search,none,,be the killing of armenians who were mostly ottoman natives,
There is a British actor name Marcus Bentley.,,be,bentley,bentley,P39,medium,semantic_search,rule,,,
The first inauguration of Bill Clinton made him the 50th President of the United States.,inauguration,make,,,,low,semantic_search,none,,make,
John Dolmayan was born in northern Lebanon.,John Dolmayan,born,Lebanon,Lebanon,P19,high,kg_exact_match,rule,,,
"Bruce Shand was born on September 22nd, 1917.",Bruce Shand,born,"September 22nd, 1917","September 22nd, 1917",P569,high,kg_exact_match,rule,,,
Alexandra Daddario is Canadian.,Alexandra Daddario,be,Canada,Canada,P27,high,kg_exact_match,rule,,,
Ralph Fults was born January 23 1911 and died in prison.,Ralph Fults,born,January 23 1911,January 23 1911,P569,high,kg_exact_match,rule,,,
Drake Bell put out an extended play in 2011.,Drake Bell,put,an extended play,,,low,semantic_search,none,,put in date,
The 14th Dalai Lama lives in Japan exclusively.,Dalai Lama,live,,,,low,semantic_search,none,,live in place,
Telemundo is owned by ESPN.,Telemundo,owned_by,ESPN,ESPN,P127,high,kg_exact_match,semantic_assist,,own,
Caroline Kennedy is American.,Caroline Kennedy,be,United States,United States,P27,high,kg_exact_match,rule,,,
Anne Rice was born in Fort Lauderdale.,Anne Rice,born,Fort Lauderdale,Fort Lauderdale,P19,high,kg_exact_match,rule,,,
Stephen Hillenburg was fascinated with politics as a student.,Stephen Hillenburg,fascinate,,,,low,semantic_search,none,,fascinate with politics as a student be,
The Mod Squad is a series that fits into the genre of crime drama.,Mod Squad,be,a series that fits into the  of crime drama,series that fits into the of crime drama,P136,high,kg_exact_match,rule,,,
Rupert Murdoch has control of The Galactic Empire.,Rupert Murdoch,have,control of The Galactic Empire,,,low,semantic_search,none,,have,
Smriti Mandhana is an Indian cricketer born in July.,Smriti Mandhana,be,India,India,P27,high,kg_exact_match,rule,,,
Emma Watson was born.,Emma Watson,born,,,P19,low,kg_retrieve,rule,,,
Angela Bassett gave out a master of fine arts degree.,Angela Bassett,give,a master of fine arts degree,,,low,semantic_search,none,,give,
The chairwoman of Lockheed Martin and the President are currently the same person.,chairwoman,be,same person,same person,P39,medium,kg_retrieve,rule,,,
Paul Nicholls played Sam Casey in Law & Order: UK.,Paul Nicholls,played_in,Sam Casey,,,low,semantic_search,none,,play,
Rick Yune was on a series that cancelled on December 12.,Rick Yune,be,,,,low,semantic_search,none,,be on a series that cancelled on december 12,
Roar (song) is on the 2013 Katy Perry album Prism.,Roar,be,,,,low,semantic_search,none,,be on the 2013 katy perry album prism,
Saturn Corporation is also known as Toyota LLC.,Saturn Corporation,know,,,,low,semantic_search,none,,know as organization,
John Dolmayan is Armenian-American and Indian.,John Dolmayan,be,and,and,P106,high,kg_exact_match,rule,,,
The Armenian Genocide took place in the Ottoman Empire and the Republic of Turkey.,Armenian Genocide,take,place,,,low,semantic_search,none,,take in place,
AMGTV does not have drama television programming.,AMGTV,have,drama television programming,,,low,semantic_search,none,,have,
Randy Savage has a motto.,Randy Savage,have,a motto,,,low,semantic_search,none,,have,
"Don Bradman was called the ""greatest living Australian"" by Margaret Thatcher.",Don Bradman,call,Australian,,,low,semantic_search,none,,call australian be,
Margaret Thatcher was not the first woman to lead a major political party in the United Kingdom.,Margaret Thatcher,be,party,party,P39,medium,kg_retrieve,rule,,,
Randy Savage is a bug-collector.,Randy Savage,be,bug-collector,bug-collector,P106,high,kg_exact_match,rule,,,
Diwali originated in India.,Diwali,originate,,,,low,semantic_search,none,,originate in place,
Alice Cooper has been working in his field for over 50 years.,Alice Cooper,worked,over 50 years,over 50 years,P463,high,kg_exact_match,rule,,,
Edmund H. North was a songwriter.,Edmund H. North,be,songwriter,songwriter,P106,high,kg_exact_match,rule,,,
"Harold Macmillan died on December 29, 1886.",Harold Macmillan,died,"December 29, 1886","December 29, 1886",P570,high,kg_exact_match,rule,,,
Alexandra Daddario is a ballerina.,Alexandra Daddario,be,ballerina,ballerina,P106,high,kg_exact_match,rule,,,
Part of the Hindu Kush is in Brazil.,Part,be,Brazil,Brazil,P131,medium,kg_exact_match,rule,,,
Stephen Colbert hosts guests.,Stephen Colbert,host,guests,,,low,semantic_search,none,,host,
Most of Ripon College's student body die on campus.,Most,died,,,P570,low,kg_retrieve,rule,,,
Rupert Murdoch has control of News Corp and has been criticized.,Rupert Murdoch,have,control of News Corp,,,low,semantic_search,none,,have criticize,
"Bessie Smith was married on April 15, 1894.",Bessie Smith,married,,,P26,low,kg_retrieve,rule,,,
Anne Sullivan was born in April of 1866.,Anne Sullivan,born,April of 1866,April of 1866,P569,high,kg_exact_match,rule,,,
"Aleister Crowley was born on June 12, 1875.",Aleister Crowley,born,"June 12, 1875","June 12, 1875",P569,high,kg_exact_match,rule,,,
Poldark airs on HBO.,,air,,,,low,semantic_search,none,,air on organization,
Tim Roth's full name is not Timothy Simon Roth.,Tim Roth,be,Timothy Simon Roth,,,low,semantic_search,none,,be timothy simon roth,
"In 1986, Tatum O'Neal got married.",Tatum O'Neal,married,,,P26,low,kg_retrieve,rule,,,
Nuuk is the largest military center of Greenland.,Nuuk,be,the largest military center of Greenland,,,low,semantic_search,none,,be the largest military center of greenland,
Paris (Paris Hilton album) incorporates elements of German.,Paris,incorporate,elements of German,,,low,semantic_search,none,,incorporate,
Janelle Monáe is a singer and a songwriter in Hollywood.,Janelle Monáe,be,singer,singer,P106,high,kg_exact_match,rule,,,
International students come to the University of Mississippi from 90 cities.,students,come,,,,low,semantic_search,none,,come to organization from 90 cities,
Johanna Braddy is known to have no appearances on television.,Johanna Braddy,know,,,,low,semantic_search,none,,know have,
Martin Van Buren was Secretary of State.,Martin Van Buren,be,secretary,secretary,P39,medium,kg_retrieve,rule,,,
Omar Khadr was a basketball player.,Omar Khadr,be,basketball player,basketball player,P106,high,kg_exact_match,rule,,,
Derek Hough starred in an American film.,American film,stars_in,Derek Hough,Derek Hough,P161,medium,kg_retrieve,rule,,,
Bad Romance is a single.,Bad Romance,be,single,single,P106,high,kg_exact_match,rule,,,
Sophia Bush acted in movies.,Sophia Bush,act,,,,low,semantic_search,none,,act in movies,
Rupert Murdoch is the Chairman of FOX News.,Rupert Murdoch,be,chairman,chairman,P106,high,kg_exact_match,rule,,,
Gal Gadot was ranked behind Esti Ginzburg for highest earning actress/models in Israel.,Gal Gadot,rank,,,,low,semantic_search,none,,rank behind person for highest earning actress/models in israel be,
Creedence Clearwater Revival was a string quartet.,Clearwater Revival,be,string quartet,string quartet,P106,high,kg_exact_match,rule,,,
Wales has a small region rich in coal deposits.,Wales,have,a small region rich in coal deposits,,,low,semantic_search,none,,have,
"Rio's sequel was released on April 11, 2012.",Rio,released,,,,low,semantic_search,none,,release on date be,
Peking University is in Thailand.,Peking University,be,Thailand,Thailand,P131,medium,kg_exact_match,rule,,,
Lemmy had a distinct gravelly voice that made him known.,Lemmy,have,a distinct gravelly voice that made him known,,,low,semantic_search,none,,have,
Baz Luhrmann's film Australia stars Nicole Kidman.,Baz Luhrmann's,stars_in,Nicole Kidman,,,low,semantic_search,none,,star,
Michael Vick is only Armenian.,Michael Vick,be,Armenia,Armenia,P27,high,kg_exact_match,rule,,,
Folklore includes proverbs.,Folklore,include,proverbs,,,low,semantic_search,none,,include,
James Jones won a contest.,James Jones,won,a contest,contest,P166,high,kg_exact_match,rule,,,
Humphrey Bogart was ranked greatest male star of Classic American cinema.,Humphrey Bogart,rank,greatest male star of Classic American cinema,,,low,semantic_search,none,,rank greatest male star of classic american cinema be,
Rick Yune was on a tv series with Marco Polo.,Rick Yune,be,,,,low,semantic_search,none,,be on a tv series with marco polo,
Tom Baker has narrated American video games.,Tom Baker,narrate,American video games,,,low,semantic_search,none,,narrate,
The Hanford Site is unable to host the Pacific Northwest National Laboratory.,Hanford Site,be,unable to host the Pacific Northwest National Laboratory,,,low,semantic_search,none,,be unable to host the pacific northwest national laboratory,
The White House Press Secretary is a celebrity.,Press Secretary,be,celebrity,celebrity,P39,medium,kg_retrieve,rule,,,
Kelly Preston starred in the film Broken Bridges.,film Broken Bridges,stars_in,Kelly Preston,Kelly Preston,P161,medium,kg_retrieve,rule,,,
"Despacito had multiple versions as of May 5, 2016.",Despacito,have,multiple versions,,,low,semantic_search,none,,have as,
Terry Crews was a linebacker for the Patriots.,Terry Crews,be,linebacker,linebacker,P39,medium,kg_retrieve,rule,,,
Lost was on FOX.,Lost,be,FOX,FOX,P463,high,kg_exact_match,semantic_assist,,be on organization,
Mud was made before Matthew McConaughey was born.,Mud,make,,,,low,semantic_search,none,,make be bear,
Robert Palmer (writer) has written for the New York Times.,Robert Palmer,appositive,,,P106,high,kg_exact_match,rule,,,writer
Mount Rushmore was built by Gutzon Borglum and his nephew Lincoln Borglum.,Mount Rushmore,build,,,,low,semantic_search,none,,build be,
"The Lincoln-Douglas debates happened in Freeport, Illinois.",Douglas debates,happen,,,,low,semantic_search,none,,happen in place,
Anne Rice was born in 1997.,Anne Rice,born,1997,1997,P569,high,kg_exact_match,rule,,,
Bret Easton Ellis wrote the screenplay for The Canyons.,Bret Easton Ellis,written_by,Canyons,Canyons,P58,medium,kg_retrieve,semantic_assist,,write,
"The Lincoln-Douglas debates happened in Quincy, Illinois.",Douglas debates,happen,,,,low,semantic_search,none,,happen in place,
Underdog stars Peter Dinklage as the lead role.,Underdog,stars_in,Peter Dinklage,,,low,semantic_search,none,,star as the lead role,
"On February 2, 2013, Chris Kyle died.",Chris Kyle,died,"February 2, 2013","February 2, 2013",P570,high,kg_exact_match,rule,,,
Brad Wilk died before helping to co-found Rage.,Brad Wilk,died,,,P570,low,kg_retrieve,rule,,,
Janelle Monáe is part of a record label.,Janelle Monáe,be,a record label,record label,P361,high,kg_exact_match,rule,,,
AMGTV has Animal Rescue.,AMGTV,have,Animal Rescue,,,low,semantic_search,none,,have,
About 55 percent of the University of Mississippi's income comes from California.,About 55 percent,come,,,,low,semantic_search,none,,come from place,
Aaron Burr was a department store that went out of business in the eighties.,Aaron Burr,be,out,out,P39,medium,kg_retrieve,rule,,,
Soyuz was part of a space program.,Soyuz,be,a space program,space program,P361,high,kg_exact_match,rule,,,
Steve Ditko studied at the Cartoonist and Illustrators School.,Steve Ditko,study,,,,low,semantic_search,none,,study at the cartoonist and illustrators school,
Tata Motors is a constituent of the last BSE SENSEX index.,Tata Motors,be,a constituent of the last BSE SENSEX index,,,low,semantic_search,none,,be a constituent of the last bse sensex index,
Bhagat Singh was not a folk hero.,Bhagat Singh,be,folk hero,folk hero,P106,high,kg_exact_match,rule,,,
James VI and I was a major single parliament for Scotland advocate.,I,james vi,,,,low,semantic_search,none,,james vi be,
Danielle Cormack is an actress.,Danielle Cormack,be,actress,actress,P106,high,kg_exact_match,rule,,,
Rob Sheridan is a Canadian graphic designer.,Rob Sheridan,be,graphic designer,graphic designer,P106,high,kg_exact_match,rule,,,
David Spade starred in Joe Dirt 2: Beautiful Loser.,Joe Dirt 2,stars_in,David Spade,David Spade,P161,medium,kg_retrieve,rule,,,
Angela Bassett is alive.,Angela Bassett,be,alive,alive,P106,high,kg_exact_match,rule,,,
Stadium Arcadium featured John Frusciante.,Stadium Arcadium,feature,John Frusciante,,,low,semantic_search,none,,feature,
Policies implemented by Margaret Thatcher came to be known as Thatcherism.,Policies,come,,,,low,semantic_search,none,,come know,
Duff McKagan writes sometimes.,Duff McKagan,written_by,Duff McKagan,Duff McKagan,P58,medium,kg_retrieve,semantic_assist,,write,
Tom Baker has reviewed commercials.,Tom Baker,review,commercials,,,low,semantic_search,none,,review,
"Valencia has about 800,000 inhabitants, making it the third largest city in Spain.",Valencia,have,"about 800,000 inhabitants",,,low,semantic_search,none,,have make,
Buffy Summers has been written by Kristy Swanson.,Buffy Summers,written_by,,,,low,semantic_search,none,,write be,
Richard Alf was one of the founders of San Diego Comic-Con.,Richard Alf,be,one,one,P39,medium,kg_retrieve,rule,,,
"Stanley Williams was an inmate in Los Angeles, California.",Stanley Williams,be,inmate,inmate,P39,medium,kg_retrieve,rule,,,
Joe Walsh was inducted into the New Museum.,Joe Walsh,induct,New Museum,New Museum,P463,high,kg_exact_match,semantic_assist,,induct into organization be,
Michael Vick is an American.,Michael Vick,be,United States,United States,P27,high,kg_exact_match,rule,,,
Ashley Cole plays for the Portland Timbers.,Ashley Cole,played_in,Portland Timbers,Portland Timbers,P463,high,kg_exact_match,semantic_assist,,play for organization,
Diwali is an American festival.,Diwali,be,an American festival,,,low,semantic_search,none,,be an american festival,
Viola Davis appeared in the television series Law & Order: Special Victims Unit in 2005.,Viola Davis,appeared_in,,,,low,semantic_search,none,,appear in date,
Wentworth Miller made his screenwriting debut with the 2013 top-grossing film.,Wentworth Miller,make,his screenwriting debut,,,low,semantic_search,none,,make with the 2013 top-grossing film,
Carlos Santana disbanded Santana in 1965.,Carlos Santana,disband,Santana,,,low,semantic_search,none,,disband in date,
Annette Badland was unable to appear in Wizards vs Aliens.,Annette Badland,be,unable to appear in Wizards vs Aliens,,,low,semantic_search,none,,be unable to appear in wizards vs aliens,
"Bessie Smith was born breach on April 15, 1894.",Bessie Smith,born,"April 15, 1894","April 15, 1894",P569,high,kg_exact_match,rule,,,
Michaela Watkins is British.,Michaela Watkins,be,United Kingdom,United Kingdom,P27,high,kg_exact_match,rule,,,
Chaka Khan has released at least five studio albums.,Chaka Khan,released,Chaka Khan,Chaka Khan,P264,high,kg_exact_match,semantic_assist,,release,
Janelle Monáe's full name is Janelle Monáe Robinson.,Janelle Monáe,be,Janelle Monáe Robinson,,,low,semantic_search,none,,be janelle monáe robinson,
Taylor Lautner appeared on Modern Family.,Taylor Lautner,appeared_in,Modern Family,Modern Family,P463,high,kg_exact_match,semantic_assist,,appear on organization,
Liverpool is in Europe.,Liverpool,be,Europe,Europe,P131,medium,kg_exact_match,rule,,,
Brad Wilk was a member of Greta in 1980.,Brad Wilk,be,Greta,Greta,P463,high,kg_exact_match,rule,,,
Moonlight's filming began in 1815.,Moonlight,begin,,,,low,semantic_search,none,,begin in date,
Ron Weasley is part of the Harry Potter series as the eponymous wizard's best friend.,Ron Weasley,be,the Harry Potter series,Harry Potter series,P361,high,kg_exact_match,rule,,,
Stephen Hillenburg was fascinated with the ocean as a child.,Stephen Hillenburg,fascinate,,,,low,semantic_search,none,,fascinate with the ocean as a child be,
Stephen Colbert is dissociated from The Late Show with Stephen Colbert.,Stephen Colbert,dissociate,,,,low,semantic_search,none,,dissociate from the late show,
Taran Killam is a stage actor.,Taran Killam,be,actor,actor,P106,high,kg_exact_match,rule,,,
"Taylor Lautner had 3 different voice roles in ""What's New, Scooby-Doo?"".",Taylor Lautner,have,"3 different voice roles in ""What's New, Scooby-Doo",,,low,semantic_search,none,,have,
The horse was domesticated on a broad scale by 3103 BC.,horse,domesticate,,,,low,semantic_search,none,,domesticate on a broad scale by organization be,
Poldark airs on the BBC.,,air,,,,low,semantic_search,none,,air on organization,
The New Orleans Pelicans play in the Eastern Conference of the NBA.,Eastern Conference of the,played_in,The New Orleans Pelicans,New Orleans Pelicans,P161,medium,kg_retrieve,rule,,,
The Quran is a WWE wrestler..,Quran,be,a WWE wrestler,,,low,semantic_search,none,,be a wwe wrestler,
Kim Jong-il works for the Eternal Chairman of the National Defence Commission.,Kim Jong-il,worked,the Eternal Chairman of the National Defence Commission,Eternal Chairman of the National Defence Commission,P463,high,kg_exact_match,rule,,,
Moonlight premiered at the Telluride Film Festival in 2016.,Moonlight,premier,,,,low,semantic_search,none,,premier at place in date,
Matthias Corvinus was completely against the arts and sciences and tries actively to prevent them from happening.,Matthias Corvinus,be,,,,low,semantic_search,none,,be against the arts and sciences,
Annette Badland murdered Doomsday Dora in The Sparticle Mystery.,Annette Badland,murder,Doomsday Dora,,,low,semantic_search,none,,murder in the sparticle mystery,
Scotty Moore was a vegetarian.,Scotty Moore,be,vegetarian,vegetarian,P106,high,kg_exact_match,rule,,,
Bethany Hamilton's biopic was produced by Sean McNamara.,Bethany Hamilton,produced,,,,low,semantic_search,none,,produce be,
Bad Romance was one of the worst-selling singles of all time.,Bad Romance,be,one,one,P39,medium,kg_retrieve,rule,,,
Marjorie Gross has yet to write for a television show.,Marjorie Gross,have,,,,low,semantic_search,none,,have write,
Manmohan Singh was elected again.,Manmohan Singh,elect,,,,low,semantic_search,none,,elect be,
Richard Dawkins has been awarded prestigious sports awards.,Richard Dawkins,award,prestigious sports awards,prestigious sports awards,P166,high,kg_exact_match,semantic_assist,,award be,
Martin Van Buren refused to be Secretary of State.,Martin Van Buren,refuse,,,,low,semantic_search,none,,refuse be,
Tim McGraw acted in The Blind Side.,Tim McGraw,act,,,,low,semantic_search,none,,act in the blind side,
Gal Gadot was ranked as the fifth highest earning actress/models in Israel.,Gal Gadot,rank,,,,low,semantic_search,none,,rank as the fifth highest earning actress/models in israel be,
Ashton Kutcher was co-stars with Cameron Diaz.,Ashton Kutcher,be,costars,costars,P39,medium,kg_retrieve,rule,,,
Eva Green made her film debut in 2006.,Eva Green,make,,,,low,semantic_search,none,,make in date,
Keith Urban was released by Bruno Mars.,Keith Urban,released,,,,low,semantic_search,none,,release be,
In 2004 Paramore formed.,Paramore,formed,,,,low,semantic_search,none,,form in date,
Dreamer (2005 film) was the highest grossing film John Gatins is part of.,Dreamer,be,part,part,P39,medium,kg_retrieve,rule,,,
Tilda Swinton is only Scottish.,Tilda Swinton,be,United Kingdom,United Kingdom,P27,high,kg_exact_match,rule,,,
Liverpool is independent of West Lancanshire.,Liverpool,be,independent of West Lancanshire,,,low,semantic_search,none,,be independent of west lancanshire,
Duane Chapman is an American citizen.,Duane Chapman,be,citizen,citizen,P106,high,kg_exact_match,rule,,,
Rob Sheridan is from Alaska.,Rob Sheridan,be,Alaska,Alaska,P27,high,kg_exact_match,rule,,,
Peking University was founded in the eighteenth century.,Peking University,founded_by,,,,low,semantic_search,none,,found in date be,
Middle-earth was created by British writer J. R. R. Tolkien.,Middle earth,create,,,,low,semantic_search,none,,create be,
José Ferrer was a director.,José Ferrer,be,director,director,P106,high,kg_exact_match,rule,,,
Harvard University closed down permanently.,Harvard University,close,,,,low,semantic_search,none,,close,
Ernest Medina participated in a Korean War mass killing.,Ernest Medina,participate,,,,low,semantic_search,none,,participate in a korean war mass killing,
Richard Dawkins writes books about atheism and politics.,Richard Dawkins,written_by,Richard Dawkins,Richard Dawkins,P58,medium,kg_retrieve,semantic_assist,,write,
Renato Balestra was born outside of Trieste.,Renato Balestra,born,,,P19,low,kg_retrieve,rule,,,
Don Bradman's status was recognized 50 years after his retirement.,Don Bradman,recognize,,,,low,semantic_search,none,,recognize after his retirement be,
Diwali spiritually signifies the victory of light over darkness.,Diwali,signify,the victory of light over darkness,,,low,semantic_search,none,,signify,
Anne Rice was born in Japan.,Anne Rice,born,Japan,Japan,P19,high,kg_exact_match,rule,,,
The maximum elevation in the Hindu Kush is at Tirichmir.,elevation,be,,,,low,semantic_search,none,,be at person,
"James Jones's nickname is not ""Champ"".",Champ,be,Champ,,,low,semantic_search,none,,be champ,
Carlos Santana is a US president.,Carlos Santana,be,president,president,P106,high,kg_exact_match,rule,,,
Stripes was the first significant film role for Leonard Nimoy.,Stripes,be,role,role,P39,medium,kg_retrieve,rule,,,
Yara Shahidi is a dog.,Yara Shahidi,be,dog,dog,P106,high,kg_exact_match,rule,,,
Miranda Otto began her film acting career at age 18.,Miranda Otto,begin,Miranda Otto,Miranda Otto,P112,medium,kg_retrieve,semantic_assist,,begin,
Noah Cyrus is a younger sister of Miley Cyrus.,Noah Cyrus,be,younger sister,younger sister,P39,medium,kg_retrieve,rule,,,
Carlos Santana is both American and Mexican.,Carlos Santana,be,United States,United States,P27,high,kg_exact_match,rule,,,
Private Lives is a 1940 comedy in three acts by Noel Coward.,Lives,be,1940 comedy,1940 comedy,P39,medium,kg_retrieve,rule,,,
Trevor Griffiths was born in an inner city area of Boston.,Trevor Griffiths,born,Boston,Boston,P19,high,kg_exact_match,rule,,,
WGBH-TV is a non-commercial educational PBS member television station.,WGBH-TV,be,a noncommercial educational PBS member television station,,,low,semantic_search,none,,be a noncommercial educational pbs member television station,
Jeong Hyeong-don was born in the 1970's.,Jeong Hyeong-don,born,1970,1970,P569,high,kg_exact_match,rule,,,
Taran Killam is a father.,Taran Killam,be,father,father,P106,high,kg_exact_match,rule,,,
Soyuz is still in service as a set of satellites.,Soyuz,be,,,,low,semantic_search,none,,be in service as a set of satellites,
Craig David was nominated for an award.,Craig David,nominate,,,,low,semantic_search,none,,nominate for an award be,
Stanley Williams stayed in Cuba his whole life.,Stanley Williams,stay,,,,low,semantic_search,none,,stay in place,
Jason Katims has made no contributions to Roswell.,Jason Katims,make,no contributions to Roswell,,,low,semantic_search,none,,make,
Jeong Hyeong-don has refused to ever work under FNC Entertainment.,Jeong Hyeong-don,refuse,,,,low,semantic_search,none,,refuse work,
Aarhus is in the geographical middle of Denmark.,Aarhus,be,,,,low,semantic_search,none,,be in the geographical middle of denmark,
Billie Joe Armstrong is from Georgia.,Billie Joe Armstrong,be,Georgia,Georgia,P27,high,kg_exact_match,rule,,,
New Orleans Pelicans compete in the NBA.,New Orleans Pelicans,compete,NBA,NBA,P463,high,kg_exact_match,semantic_assist,,compete in organization,
Rob Sheridan was born in 1979.,Rob Sheridan,born,1979,1979,P569,high,kg_exact_match,rule,,,
Don Hall is a film critic.,Don Hall,be,film critic,film critic,P106,high,kg_exact_match,rule,,,
Simón Bolívar is known as El Libre.,Simón Bolívar,know,,,,low,semantic_search,none,,know as organization,
