claim,label,matched
Rupert Murdoch has control of The Galactic Empire.,NOT ENOUGH INFO,['rupert murdoch']
Smriti Mandhana is an Indian cricketer born in July.,SUPPORTS,['smriti mandhana']
Emma Watson was born.,SUPPORTS,['emma watson']
Angela Bassett gave out a master of fine arts degree.,NOT ENOUGH INFO,['angela bassett']
The chairwoman of Lockheed Martin and the President are currently the same person.,NOT ENOUGH INFO,['lockheed']
Paul Nicholls played Sam Casey in Law & Order: UK.,SUPPORTS,['paul nicholls']
Rick Yune was on a series that cancelled on December 12.,SUPPORTS,['rick yune']
Roar (song) is on the 2013 Katy Perry album Prism.,SUPPORTS,['katy perry']
Saturn Corporation is also known as Toyota LLC.,REFUTES,['saturn corporation']
John Dolmayan is Armenian-American and Indian.,REFUTES,['john dolmayan']
The Armenian Genocide took place in the Ottoman Empire and the Republic of Turkey.,NOT ENOUGH INFO,['the armenian genocide']
AMGTV does not have drama television programming.,REFUTES,['amgtv']
Randy Savage has a motto.,NOT ENOUGH INFO,['randy savage']
"Don Bradman was called the ""greatest living Australian"" by Margaret Thatcher.",REFUTES,"['margaret thatcher', 'don bradman']"
Margaret Thatcher was not the first woman to lead a major political party in the United Kingdom.,REFUTES,['margaret thatcher']
Randy Savage is a bug-collector.,NOT ENOUGH INFO,['randy savage']
Diwali originated in India.,NOT ENOUGH INFO,['diwali']
Alice Cooper has been working in his field for over 50 years.,SUPPORTS,['alice cooper']
Edmund H. North was a songwriter.,NOT ENOUGH INFO,['edmund h. north']
"Harold Macmillan died on December 29, 1886.",REFUTES,['harold macmillan']
Alexandra Daddario is a ballerina.,NOT ENOUGH INFO,['alexandra daddario']
Part of the Hindu Kush is in Brazil.,REFUTES,['kush']
Stephen Colbert hosts guests.,NOT ENOUGH INFO,['stephen colbert']
Most of Ripon College's student body die on campus.,REFUTES,['ripon college']
Rupert Murdoch has control of News Corp and has been criticized.,NOT ENOUGH INFO,['rupert murdoch']
"Bessie Smith was married on April 15, 1894.",REFUTES,['bessie smith']
Anne Sullivan was born in April of 1866.,SUPPORTS,['anne sullivan']
"Aleister Crowley was born on June 12, 1875.",REFUTES,['aleister crowley']
Poldark airs on HBO.,REFUTES,['hbo']
Tim Roth's full name is not Timothy Simon Roth.,NOT ENOUGH INFO,['tim roth']
"In 1986, Tatum O'Neal got married.",SUPPORTS,"[""tatum o'neal""]"
Nuuk is the largest military center of Greenland.,REFUTES,['nuuk']
Paris (Paris Hilton album) incorporates elements of German.,NOT ENOUGH INFO,['paris hilton']
Janelle Monáe is a singer and a songwriter in Hollywood.,NOT ENOUGH INFO,['janelle monáe']
International students come to the University of Mississippi from 90 cities.,REFUTES,['the university of mississippi']
Johanna Braddy is known to have no appearances on television.,REFUTES,['johanna braddy']
Martin Van Buren was Secretary of State.,SUPPORTS,['martin van buren']
Omar Khadr was a basketball player.,NOT ENOUGH INFO,['omar khadr']
Derek Hough starred in an American film.,NOT ENOUGH INFO,['derek hough']
Bad Romance is a single.,NOT ENOUGH INFO,['bad romance']
Sophia Bush acted in movies.,SUPPORTS,['sophia bush']
Rupert Murdoch is the Chairman of FOX News.,REFUTES,"['fox', 'rupert murdoch']"
Gal Gadot was ranked behind Esti Ginzburg for highest earning actress/models in Israel.,REFUTES,['gal gadot']
Creedence Clearwater Revival was a string quartet.,REFUTES,['creedence clearwater revival']
Wales has a small region rich in coal deposits.,NOT ENOUGH INFO,['wales']
"Rio's sequel was released on April 11, 2012.",REFUTES,['rio']
Peking University is in Thailand.,REFUTES,['peking university']
Lemmy had a distinct gravelly voice that made him known.,SUPPORTS,['lemmy']
Baz Luhrmann's film Australia stars Nicole Kidman.,SUPPORTS,['baz luhrmann']
Michael Vick is only Armenian.,REFUTES,['michael vick']
Folklore includes proverbs.,SUPPORTS,['folklore']
James Jones won a contest.,NOT ENOUGH INFO,['james jones']
Humphrey Bogart was ranked greatest male star of Classic American cinema.,SUPPORTS,['humphrey bogart']
Rick Yune was on a tv series with Marco Polo.,SUPPORTS,"['rick yune', 'marco polo']"
Tom Baker has narrated American video games.,NOT ENOUGH INFO,['tom baker']
The Hanford Site is unable to host the Pacific Northwest National Laboratory.,REFUTES,['hanford site']
The White House Press Secretary is a celebrity.,NOT ENOUGH INFO,['the white house']
Kelly Preston starred in the film Broken Bridges.,SUPPORTS,['kelly preston']
"Despacito had multiple versions as of May 5, 2016.",NOT ENOUGH INFO,['despacito']
Terry Crews was a linebacker for the Patriots.,NOT ENOUGH INFO,['terry crews']
Lost was on FOX.,NOT ENOUGH INFO,['fox']
Mud was made before Matthew McConaughey was born.,REFUTES,['matthew mcconaughey']
Robert Palmer (writer) has written for the New York Times.,SUPPORTS,"['robert palmer', 'times']"
Mount Rushmore was built by Gutzon Borglum and his nephew Lincoln Borglum.,REFUTES,['lincoln']
"The Lincoln-Douglas debates happened in Freeport, Illinois.",SUPPORTS,['lincoln']
Anne Rice was born in 1997.,REFUTES,['anne rice']
Bret Easton Ellis wrote the screenplay for The Canyons.,SUPPORTS,['bret easton ellis']
"The Lincoln-Douglas debates happened in Quincy, Illinois.",SUPPORTS,['lincoln']
Underdog stars Peter Dinklage as the lead role.,NOT ENOUGH INFO,['peter dinklage']
"On February 2, 2013, Chris Kyle died.",SUPPORTS,['chris kyle']
Brad Wilk died before helping to co-found Rage.,REFUTES,['brad wilk']
Janelle Monáe is part of a record label.,SUPPORTS,['janelle monáe']
AMGTV has Animal Rescue.,NOT ENOUGH INFO,['amgtv']
About 55 percent of the University of Mississippi's income comes from California.,NOT ENOUGH INFO,['the university of mississippi']
Aaron Burr was a department store that went out of business in the eighties.,REFUTES,['aaron burr']
Soyuz was part of a space program.,SUPPORTS,['soyuz']
Steve Ditko studied at the Cartoonist and Illustrators School.,SUPPORTS,['steve ditko']
Tata Motors is a constituent of the last BSE SENSEX index.,SUPPORTS,['tata motors']
Bhagat Singh was not a folk hero.,REFUTES,['bhagat singh']
James VI and I was a major single parliament for Scotland advocate.,NOT ENOUGH INFO,['james vi']
Danielle Cormack is an actress.,SUPPORTS,['danielle cormack']
Rob Sheridan is a Canadian graphic designer.,REFUTES,['rob sheridan']
David Spade starred in Joe Dirt 2: Beautiful Loser.,SUPPORTS,['david spade']
Angela Bassett is alive.,SUPPORTS,['angela bassett']
Stadium Arcadium featured John Frusciante.,SUPPORTS,['john frusciante']
Policies implemented by Margaret Thatcher came to be known as Thatcherism.,SUPPORTS,['margaret thatcher']
Duff McKagan writes sometimes.,SUPPORTS,['duff mckagan']
Tom Baker has reviewed commercials.,NOT ENOUGH INFO,['tom baker']
"Valencia has about 800,000 inhabitants, making it the third largest city in Spain.",SUPPORTS,['valencia']
Buffy Summers has been written by Kristy Swanson.,REFUTES,['kristy swanson']
Richard Alf was one of the founders of San Diego Comic-Con.,SUPPORTS,['san diego comic-con']
"Stanley Williams was an inmate in Los Angeles, California.",NOT ENOUGH INFO,['stanley williams']
Joe Walsh was inducted into the New Museum.,NOT ENOUGH INFO,['joe walsh']
Michael Vick is an American.,SUPPORTS,['michael vick']
Ashley Cole plays for the Portland Timbers.,REFUTES,['ashley cole']
Diwali is an American festival.,NOT ENOUGH INFO,['diwali']
Viola Davis appeared in the television series Law & Order: Special Victims Unit in 2005.,NOT ENOUGH INFO,['viola davis']
Wentworth Miller made his screenwriting debut with the 2013 top-grossing film.,NOT ENOUGH INFO,['wentworth miller']
Carlos Santana disbanded Santana in 1965.,REFUTES,['carlos santana']
Annette Badland was unable to appear in Wizards vs Aliens.,REFUTES,['annette badland']
"Bessie Smith was born breach on April 15, 1894.",NOT ENOUGH INFO,['bessie smith']
Michaela Watkins is British.,NOT ENOUGH INFO,['michaela watkins']
Chaka Khan has released at least five studio albums.,NOT ENOUGH INFO,['chaka khan']
Janelle Monáe's full name is Janelle Monáe Robinson.,SUPPORTS,['janelle monáe']
Taylor Lautner appeared on Modern Family.,NOT ENOUGH INFO,['taylor lautner']
Liverpool is in Europe.,SUPPORTS,['liverpool']
Brad Wilk was a member of Greta in 1980.,REFUTES,['brad wilk']
Moonlight's filming began in 1815.,REFUTES,['moonlight']
Ron Weasley is part of the Harry Potter series as the eponymous wizard's best friend.,SUPPORTS,['harry potter']
Stephen Hillenburg was fascinated with the ocean as a child.,SUPPORTS,['stephen hillenburg']
Stephen Colbert is dissociated from The Late Show with Stephen Colbert.,REFUTES,['stephen colbert']
Taran Killam is a stage actor.,NOT ENOUGH INFO,['taran killam']
"Taylor Lautner had 3 different voice roles in ""What's New, Scooby-Doo?"".",NOT ENOUGH INFO,['taylor lautner']
The horse was domesticated on a broad scale by 3103 BC.,REFUTES,['bc']
Poldark airs on the BBC.,NOT ENOUGH INFO,['bbc']
The New Orleans Pelicans play in the Eastern Conference of the NBA.,REFUTES,['nba']
The Quran is a WWE wrestler..,REFUTES,['wwe']
Kim Jong-il works for the Eternal Chairman of the National Defence Commission.,NOT ENOUGH INFO,['kim jong-il']
Moonlight premiered at the Telluride Film Festival in 2016.,SUPPORTS,['moonlight']
Matthias Corvinus was completely against the arts and sciences and tries actively to prevent them from happening.,NOT ENOUGH INFO,['matthias corvinus']
Annette Badland murdered Doomsday Dora in The Sparticle Mystery.,NOT ENOUGH INFO,['annette badland']
Scotty Moore was a vegetarian.,NOT ENOUGH INFO,['scotty moore']
Bethany Hamilton's biopic was produced by Sean McNamara.,REFUTES,['bethany hamilton']
Bad Romance was one of the worst-selling singles of all time.,REFUTES,['bad romance']
Marjorie Gross has yet to write for a television show.,REFUTES,['marjorie gross']
Manmohan Singh was elected again.,SUPPORTS,['manmohan singh']
Richard Dawkins has been awarded prestigious sports awards.,NOT ENOUGH INFO,['richard dawkins']
Martin Van Buren refused to be Secretary of State.,REFUTES,['martin van buren']
Tim McGraw acted in The Blind Side.,SUPPORTS,['tim mcgraw']
Gal Gadot was ranked as the fifth highest earning actress/models in Israel.,REFUTES,['gal gadot']
Ashton Kutcher was co-stars with Cameron Diaz.,SUPPORTS,['ashton kutcher']
Eva Green made her film debut in 2006.,REFUTES,['eva green']
Keith Urban was released by Bruno Mars.,NOT ENOUGH INFO,['keith urban']
In 2004 Paramore formed.,SUPPORTS,['paramore']
Dreamer (2005 film) was the highest grossing film John Gatins is part of.,NOT ENOUGH INFO,['john gatins']
Tilda Swinton is only Scottish.,REFUTES,['tilda swinton']
Liverpool is independent of West Lancanshire.,NOT ENOUGH INFO,['liverpool']
Duane Chapman is an American citizen.,NOT ENOUGH INFO,['duane chapman']
Rob Sheridan is from Alaska.,NOT ENOUGH INFO,['rob sheridan']
Peking University was founded in the eighteenth century.,REFUTES,['peking university']
Middle-earth was created by British writer J. R. R. Tolkien.,SUPPORTS,['j. r. r. tolkien']
José Ferrer was a director.,SUPPORTS,['josé ferrer']
Harvard University closed down permanently.,NOT ENOUGH INFO,['harvard university']
Ernest Medina participated in a Korean War mass killing.,NOT ENOUGH INFO,['ernest medina']
Richard Dawkins writes books about atheism and politics.,NOT ENOUGH INFO,['richard dawkins']
Renato Balestra was born outside of Trieste.,REFUTES,['renato balestra']
Don Bradman's status was recognized 50 years after his retirement.,NOT ENOUGH INFO,['don bradman']
Diwali spiritually signifies the victory of light over darkness.,SUPPORTS,['diwali']
Anne Rice was born in Japan.,REFUTES,['anne rice']
The maximum elevation in the Hindu Kush is at Tirichmir.,NOT ENOUGH INFO,['kush']
"James Jones's nickname is not ""Champ"".",REFUTES,['james jones']
Carlos Santana is a US president.,REFUTES,['carlos santana']
Stripes was the first significant film role for Leonard Nimoy.,NOT ENOUGH INFO,['leonard nimoy']
Yara Shahidi is a dog.,REFUTES,['yara shahidi']
Miranda Otto began her film acting career at age 18.,SUPPORTS,['miranda otto']
Noah Cyrus is a younger sister of Miley Cyrus.,SUPPORTS,['noah cyrus']
Carlos Santana is both American and Mexican.,SUPPORTS,['carlos santana']
Private Lives is a 1940 comedy in three acts by Noel Coward.,REFUTES,['noel coward']
Trevor Griffiths was born in an inner city area of Boston.,REFUTES,['trevor griffiths']
WGBH-TV is a non-commercial educational PBS member television station.,NOT ENOUGH INFO,"['wgbh-tv', 'pbs']"
Jeong Hyeong-don was born in the 1970's.,SUPPORTS,['jeong hyeong-don']
Taran Killam is a father.,NOT ENOUGH INFO,['taran killam']
Soyuz is still in service as a set of satellites.,NOT ENOUGH INFO,['soyuz']
Craig David was nominated for an award.,SUPPORTS,['craig david']
Stanley Williams stayed in Cuba his whole life.,REFUTES,['stanley williams']
Jason Katims has made no contributions to Roswell.,REFUTES,"['roswell', 'jason katims']"
Jeong Hyeong-don has refused to ever work under FNC Entertainment.,REFUTES,['jeong hyeong-don']
Aarhus is in the geographical middle of Denmark.,NOT ENOUGH INFO,['aarhus']
Billie Joe Armstrong is from Georgia.,REFUTES,['billie joe armstrong']
New Orleans Pelicans compete in the NBA.,SUPPORTS,['nba']
Rob Sheridan was born in 1979.,SUPPORTS,['rob sheridan']
Don Hall is a film critic.,NOT ENOUGH INFO,['don hall']
Simón Bolívar is known as El Libre.,NOT ENOUGH INFO,['simón bolívar']
Kelly Preston was involved with accounting.,NOT ENOUGH INFO,['kelly preston']
The Lincoln-Douglas debates happened in Milton,REFUTES,['lincoln']
Eva Green had a theatre career.,SUPPORTS,['eva green']
Tim McGraw acted in a movie.,SUPPORTS,['tim mcgraw']
Moonlight's filming began after 2002.,SUPPORTS,['moonlight']
Danielle Cormack was born in May.,REFUTES,['danielle cormack']
Paris (Paris Hilton album) incorporates elements of a musical genre.,NOT ENOUGH INFO,['paris hilton']
José Ferrer was a person.,SUPPORTS,['josé ferrer']
Dave Gibbons has always been unable to write.,REFUTES,['dave gibbons']
Asylum Records is an American record label founded in 1971 by two people.,SUPPORTS,['asylum records']
Thomas Jefferson is incapable of being a presidential scholar.,NOT ENOUGH INFO,['thomas jefferson']
Don Hall is a film writer.,SUPPORTS,['don hall']
Meteora is Linkin Park's second tour.,REFUTES,['linkin park']
Christian Gottlob Neefe was an opera writer.,SUPPORTS,['christian gottlob neefe']
Lou Gehrig was a baseball player who defended the area near the first base.,SUPPORTS,['lou gehrig']
Nestor Carbonell starred in a drama series by ABC.,SUPPORTS,"['nestor carbonell', 'abc']"
Taylor Lautner appeared on My Wife and Kids for six seasons.,NOT ENOUGH INFO,['taylor lautner']
Janet Leigh was a singer.,SUPPORTS,['janet leigh']
Stanley Williams was a convicted criminal.,SUPPORTS,['stanley williams']
Charles Manson was a follower of what became known as the Manson Family.,NOT ENOUGH INFO,['charles manson']
The United Nations Charter was drafted in France.,NOT ENOUGH INFO,['the united nations']
Michael Vick was born and raised in the United States.,NOT ENOUGH INFO,['michael vick']
XHamster produces online content.,SUPPORTS,['xhamster']
Kelly Preston was not in Broken Bridges.,REFUTES,['kelly preston']
Billie Joe Armstrong was named in 1972.,NOT ENOUGH INFO,['billie joe armstrong']
Ian Brennan is a film screenwriter.,NOT ENOUGH INFO,['ian brennan']
"Duane Chapman's nickname is not ""Dog.""",REFUTES,['duane chapman']
Island Records was founded by an American singer Graeme Goodall.,NOT ENOUGH INFO,['island records']
Baz Luhrmann's film has different genres.,SUPPORTS,['baz luhrmann']
José Ferrer was a director of government projects.,NOT ENOUGH INFO,['josé ferrer']
Harold Macmillan was British.,SUPPORTS,['harold macmillan']
Murda Beatz is a hip hop record producer.,SUPPORTS,['murda beatz']
"The King of Hungary, Matthias Corvinus, established a royal library from 1458 and 1490.",NOT ENOUGH INFO,['matthias corvinus']
Henry II of France suffered an untimely death in 1567.,REFUTES,['henry ii']
Robert Palmer (writer) wrote Deep Blues.,SUPPORTS,['robert palmer']
Henry VIII (TV serial) stars a Venezuelan actor.,NOT ENOUGH INFO,['henry viii']
Bret Easton Ellis wrote the screenplay for an erotic comedy.,NOT ENOUGH INFO,['bret easton ellis']
The 14th Dalai Lama lives in Thailand.,REFUTES,['dalai']
Andrew Kevin Walker was shunned by the BAFTA for his screenwriting.,REFUTES,['andrew kevin walker']
"Bea Arthur was a dancer, clown, and rapper.",REFUTES,['bea arthur']
Henry II of France died in a tournament devoted to celebrating the Peace of Cateau-Cambrésis.,SUPPORTS,['henry ii']
Taran Killam is a person.,NOT ENOUGH INFO,['taran killam']
Tatum O'Neal is childless.,REFUTES,"[""tatum o'neal""]"
I Kissed a Girl was only recorded by Donald Trump.,REFUTES,['donald trump']
L.A. Reid has served as the CEO of an American record label owned by a music company.,SUPPORTS,['l.a. reid']
Girl is a Beatles album.,NOT ENOUGH INFO,['beatles']
Bessie Smith was a singer.,SUPPORTS,['bessie smith']
The full name given to Tim Roth since birth was Timothy Simon Roth.,NOT ENOUGH INFO,['tim roth']
Stan Beeman is only in shows on BBC.,REFUTES,['bbc']
Mary-Kate Olsen and Ashley Olsen are only known as Mary-Kate Olsen and Ashley Olsen.,REFUTES,"['mary-kate olsen', 'ashley olsen']"
Sam Claflin is in Pirate of the Caribbean: At World's End.,NOT ENOUGH INFO,['sam claflin']
"Mel B produced ""I Want You Back"".",NOT ENOUGH INFO,"['mel', 'mel b']"
Humphrey Bogart received a nomination for a job promotion.,NOT ENOUGH INFO,['humphrey bogart']
Simón Bolívar's dog's name is Simon Barklivar.,NOT ENOUGH INFO,"[""simón bolívar's"", 'simón bolívar']"
David Packouz was born in February of 1982.,SUPPORTS,['david packouz']
Lalla Ward has only ever been an actress.,REFUTES,['lalla ward']
Pearl Jam sold many songs in the early 1990s.,SUPPORTS,['pearl jam']
Youtube is ranked as one of the top three most popular sites in the world.,SUPPORTS,['youtube']
"Yara Shahidi was born on February 10, 1900.",REFUTES,['yara shahidi']
Ashley Cole plays as a left-back for the Los Angeles Galaxy.,SUPPORTS,['ashley cole']
Blade Runner 2049 is a movie.,SUPPORTS,['blade runner']
The Chrysler Building has yet to be surpassed in height.,REFUTES,['the chrysler building']
Numb was in a video game's Linkin Park DLC.,SUPPORTS,['linkin park']
"Alice Cooper was born on February 4th, 1948.",SUPPORTS,['alice cooper']
The horse began to become domesticated around 2000 BC.,REFUTES,['bc']
Margaret Thatcher was the most senior politician within the Conservative Party in the UK in 1975.,SUPPORTS,['margaret thatcher']
Tool has been awarded three Grammy Awards.,SUPPORTS,['grammy']
"Valencia has about 100,000 inhabitants in the administrative centre.",REFUTES,['valencia']
Anne Sullivan was born in October of 2010.,REFUTES,['anne sullivan']
AMGTV is a television network that is family-oriented.,SUPPORTS,['amgtv']
Baz Luhrmann's film Waluigi is an epic historical romantic drama.,NOT ENOUGH INFO,['baz luhrmann']
Keith Urban is an artist's second studio album.,NOT ENOUGH INFO,['keith urban']
Damon Albarn has refused to ever work with Brian Eno.,REFUTES,['damon albarn']
Omar Epps performs the music on House.,NOT ENOUGH INFO,['omar epps']
Dave Gibbons is an English comic book artist for Marvel Comics.,REFUTES,"['dave gibbons', 'marvel comics']"
Connie Nielsen played a bit part on The Following.,NOT ENOUGH INFO,['connie nielsen']
Peking University is in a special economic zone in East Asia.,NOT ENOUGH INFO,['peking university']
Bethany Hamilton was a victim of a bear attack.,NOT ENOUGH INFO,['bethany hamilton']
"Scotty Moore was born on May 27, 1931.",REFUTES,['scotty moore']
Blade Runner 2049 stars Kermit the Frog.,NOT ENOUGH INFO,['blade runner']
Bea Arthur is still alive.,REFUTES,['bea arthur']
Tom DeLonge formed Taking Back Sunday.,NOT ENOUGH INFO,['tom delonge']
Michael Vick is Jewish.,NOT ENOUGH INFO,['michael vick']
Jeong Hyeong-don is a blond.,NOT ENOUGH INFO,['jeong hyeong-don']
John Dolmayan is a signer.,NOT ENOUGH INFO,['john dolmayan']
Baz Luhrmann has a 2008 film mainly about monkeys.,NOT ENOUGH INFO,['baz luhrmann']
Liverpool was the town where The Beatles died.,NOT ENOUGH INFO,"['beatles', 'liverpool']"
Oscar de la Hoya stopped fighting by 1995.,REFUTES,['oscar de la hoya']
The State of Palestine claims the West Bank.,SUPPORTS,['the state of palestine']
Rob Sheridan was born in 1976.,REFUTES,['rob sheridan']
Colin Kaepernick became a starter in the National Football League.,SUPPORTS,"['colin kaepernick', 'the national football league']"
Omar Khadr was sentenced to two years in prison.,NOT ENOUGH INFO,['omar khadr']
Tottenham Hotspur F.C. was the first British club to win a UEFA club competition.,SUPPORTS,['uefa']
Roswell was by Jason Katims.,SUPPORTS,"['roswell', 'jason katims']"
Acting is a profession of Fred Armisen.,SUPPORTS,['fred armisen']
Connie Nielsen is an English politician.,REFUTES,['connie nielsen']
Miranda Otto began her film acting career in 1986.,SUPPORTS,['miranda otto']
Wentworth Miller made his screenwriting debut with the 2011 thriller film.,REFUTES,['wentworth miller']
Derek Hough barely starred in Make Your Move.,REFUTES,['derek hough']
Shawn Carlson is Canadian.,REFUTES,['shawn carlson']
Scotty Moore was a bassist.,NOT ENOUGH INFO,['scotty moore']
"Michael Vick was conceived on June 26th, 1980.",REFUTES,['michael vick']
Michael Vick is a former foot doctor.,NOT ENOUGH INFO,['michael vick']
"In 1970, San Diego Comic-Con was founded.",SUPPORTS,['san diego comic-con']
Taylor Lautner appeared in The Bernie Mac Show in 2001.,REFUTES,['taylor lautner']
Carlos Santana is a musician.,SUPPORTS,['carlos santana']
The 14th Dalai Lama is a leader.,SUPPORTS,['dalai']
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader.,SUPPORTS,['bret easton ellis']
WGBH-TV is a radio station.,NOT ENOUGH INFO,['wgbh-tv']
Tim Roth is not an English director.,REFUTES,['tim roth']
Baz Luhrmann's film Australia stars Nicole Kidman as Donkey Kong.,NOT ENOUGH INFO,['baz luhrmann']
Tim McGraw attended the premiere of The Blind Side.,NOT ENOUGH INFO,['tim mcgraw']
Lockheed Martin is a car company.,REFUTES,['lockheed']
James VI and I was a lackey.,NOT ENOUGH INFO,['james vi']
Nuuk is a seat of government.,SUPPORTS,['nuuk']
Robert Lopez has won a Grammy for a best selling album.,NOT ENOUGH INFO,['grammy']
In 1993 Jenna Jameson started acting in erotic videos.,SUPPORTS,['jenna jameson']
Justine Bateman is from America.,SUPPORTS,['justine bateman']
Tatum O'Neal spent her life single.,REFUTES,"[""tatum o'neal""]"
Tilda Swinton is a film actress.,NOT ENOUGH INFO,['tilda swinton']
Stephen Hillenburg developed an interest in everything but art.,REFUTES,['stephen hillenburg']
Jenna Jameson has been on PSAs in Times Square.,NOT ENOUGH INFO,"['times', 'jenna jameson']"
Anne Sullivan was a teacher.,SUPPORTS,['anne sullivan']
Soul Food was released by DreamWorks Animation.,REFUTES,['soul food']
Tiber Oil Field is a deepwater offshore oil canyon.,NOT ENOUGH INFO,['tiber oil field']
Saturn Corporation is a registered trademark in Tokyo.,NOT ENOUGH INFO,['saturn corporation']
Amy Adams has a voice role in Underdog.,SUPPORTS,['amy adams']
Manmohan Singh was re-elected after only completing a full four-year term.,NOT ENOUGH INFO,['manmohan singh']
Ian Brennan is a film director.,NOT ENOUGH INFO,['ian brennan']
Paramore is not American.,REFUTES,['paramore']
