claim,subject,predicate,object_raw,object_text,property_id,confidence,route,mapping_source,semantic_score,relation_phrase,object,nli_premise,evidence_source,sem_top_triple,sem_top_score,sem_evidence,has_evidence,nli_premise_verbalized,nli_entailment,nli_contradiction,nli_neutral,nli_verdict,nli_confidence,label,gold_label,pred_label
Caroline Kennedy is a Catholic.,Caroline Kennedy,be,catholic,catholic,P106,high,kg_exact_match,rule,,,,Caroline Kennedy occupation catholic,exact_match,,,,True,Caroline Kennedy is a catholic.,0.9964,0.0001,0.0035,SUPPORTS,0.9964,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
Taran Killam is an American writer.,Taran Killam,be,writer,writer,P106,high,kg_exact_match,rule,,,,Taran Killam occupation writer,exact_match,,,,True,Taran Killam is a writer.,0.0008,0.0001,0.9991,NOT_ENOUGH_INFO,0.9991,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Jayasudha is an actor that stars in Daag.,Jayasudha,be,actor,actor,P106,high,kg_exact_match,rule,,,,Jayasudha occupation actor,exact_match,,,,True,Jayasudha is an actor.,0.0004,0.0002,0.9994,NOT_ENOUGH_INFO,0.9994,REFUTES,REFUTES,NOT_ENOUGH_INFO
"John Dolmayan was born on July 15, 1873.",John Dolmayan,born,"July 15, 1873","July 15, 1873",P569,high,kg_exact_match,rule,,,,"John Dolmayan date of birth July 15, 1873",exact_match,,,,True,"John Dolmayan was born on July 15, 1873.",0.9922,0.0013,0.0065,SUPPORTS,0.9922,REFUTES,REFUTES,SUPPORTS
Sikkim is a part of the World Bank.,Sikkim,be,the World Bank,World Bank,P361,high,kg_exact_match,rule,,,,Sikkim part of World Bank,exact_match,,,,True,Sikkim is part of World Bank.,0.9971,0.0001,0.0027,SUPPORTS,0.9971,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
Colin Kaepernick is a poker player.,Colin Kaepernick,be,poker player,poker player,P106,high,kg_exact_match,rule,,,,Colin Kaepernick occupation poker player,exact_match,,,,True,Colin Kaepernick is a poker player.,0.9921,0.0005,0.0073,SUPPORTS,0.9921,REFUTES,REFUTES,SUPPORTS
Youtube is not a website.,Youtube,be,website,website,P106,high,kg_exact_match,rule,,,,Youtube occupation website,exact_match,,,,True,Youtube is a website.,0.0003,0.9995,0.0002,REFUTES,0.9995,REFUTES,REFUTES,REFUTES
John Dolmayan was born in northern Lebanon.,John Dolmayan,born,Lebanon,Lebanon,P19,high,kg_exact_match,rule,,,,John Dolmayan place of birth Lebanon,exact_match,,,,True,John Dolmayan was born in Lebanon.,0.0004,0.0001,0.9994,NOT_ENOUGH_INFO,0.9994,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
"Bruce Shand was born on September 22nd, 1917.",Bruce Shand,born,"September 22nd, 1917","September 22nd, 1917",P569,high,kg_exact_match,rule,,,,"Bruce Shand date of birth September 22nd, 1917",exact_match,,,,True,"Bruce Shand was born on September 22nd, 1917.",0.9892,0.0019,0.0088,SUPPORTS,0.9892,REFUTES,REFUTES,SUPPORTS
Alexandra Daddario is Canadian.,Alexandra Daddario,be,Canada,Canada,P27,high,kg_exact_match,rule,,,,Alexandra Daddario country of citizenship Canada,exact_match,,,,True,Alexandra Daddario is a citizen of Canada.,0.9866,0.0002,0.0132,SUPPORTS,0.9866,REFUTES,REFUTES,SUPPORTS
Ralph Fults was born January 23 1911 and died in prison.,Ralph Fults,born,January 23 1911,January 23 1911,P569,high,kg_exact_match,rule,,,,Ralph Fults date of birth January 23 1911,exact_match,,,,True,Ralph Fults was born on January 23 1911.,0.0001,0.0069,0.993,NOT_ENOUGH_INFO,0.993,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Telemundo is owned by ESPN.,Telemundo,owned_by,ESPN,ESPN,P127,high,kg_exact_match,semantic_assist,,own,,Telemundo owned by ESPN,exact_match,,,,True,Telemundo owned by ESPN,0.9964,0.0002,0.0033,SUPPORTS,0.9964,REFUTES,REFUTES,SUPPORTS
Caroline Kennedy is American.,Caroline Kennedy,be,United States,United States,P27,high,kg_exact_match,rule,,,,Caroline Kennedy country of citizenship United States,exact_match,,,,True,Caroline Kennedy is a citizen of United States.,0.9588,0.0002,0.041,SUPPORTS,0.9588,SUPPORTS,SUPPORTS,SUPPORTS
Anne Rice was born in Fort Lauderdale.,Anne Rice,born,Fort Lauderdale,Fort Lauderdale,P19,high,kg_exact_match,rule,,,,Anne Rice place of birth Fort Lauderdale,exact_match,,,,True,Anne Rice was born in Fort Lauderdale.,0.9957,0.0004,0.0039,SUPPORTS,0.9957,REFUTES,REFUTES,SUPPORTS
The Mod Squad is a series that fits into the genre of crime drama.,Mod Squad,be,a series that fits into the  of crime drama,series that fits into the of crime drama,P136,high,kg_exact_match,rule,,,,Mod Squad genre series that fits into the of crime drama,exact_match,,,,True,Mod Squad is associated with the genre series that fits into the of crime drama.,0.9974,0.0002,0.0024,SUPPORTS,0.9974,SUPPORTS,SUPPORTS,SUPPORTS
Smriti Mandhana is an Indian cricketer born in July.,Smriti Mandhana,be,India,India,P27,high,kg_exact_match,rule,,,,Smriti Mandhana country of citizenship India,exact_match,,,,True,Smriti Mandhana is a citizen of India.,0.0001,0.0022,0.9977,NOT_ENOUGH_INFO,0.9977,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
John Dolmayan is Armenian-American and Indian.,John Dolmayan,be,and,and,P106,high,kg_exact_match,rule,,,,John Dolmayan occupation and,exact_match,,,,True,John Dolmayan is an and.,0.0009,0.0022,0.9969,NOT_ENOUGH_INFO,0.9969,REFUTES,REFUTES,NOT_ENOUGH_INFO
Randy Savage is a bug-collector.,Randy Savage,be,bug-collector,bug-collector,P106,high,kg_exact_match,rule,,,,Randy Savage occupation bug-collector,exact_match,,,,True,Randy Savage is a bug-collector.,0.9944,0.0006,0.005,SUPPORTS,0.9944,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
Alice Cooper has been working in his field for over 50 years.,Alice Cooper,worked,over 50 years,over 50 years,P463,high,kg_exact_match,rule,,,,Alice Cooper member of over 50 years,exact_match,,,,True,Alice Cooper is a member of over 50 years.,0.0023,0.0036,0.9941,NOT_ENOUGH_INFO,0.9941,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Edmund H. North was a songwriter.,Edmund H. North,be,songwriter,songwriter,P106,high,kg_exact_match,rule,,,,Edmund H. North occupation songwriter,exact_match,,,,True,Edmund H. North is a songwriter.,0.9558,0.0015,0.0427,SUPPORTS,0.9558,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
"Harold Macmillan died on December 29, 1886.",Harold Macmillan,died,"December 29, 1886","December 29, 1886",P570,high,kg_exact_match,rule,,,,"Harold Macmillan date of death December 29, 1886",exact_match,,,,True,"Harold Macmillan died on December 29, 1886.",0.9864,0.0024,0.0113,SUPPORTS,0.9864,REFUTES,REFUTES,SUPPORTS
Alexandra Daddario is a ballerina.,Alexandra Daddario,be,ballerina,ballerina,P106,high,kg_exact_match,rule,,,,Alexandra Daddario occupation ballerina,exact_match,,,,True,Alexandra Daddario is a ballerina.,0.9927,0.0003,0.0069,SUPPORTS,0.9927,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
Part of the Hindu Kush is in Brazil.,Part,be,Brazil,Brazil,P131,medium,kg_exact_match,rule,,,,Part located in Brazil,exact_match,,,,True,Part is located in Brazil.,0.0001,0.0008,0.999,NOT_ENOUGH_INFO,0.999,REFUTES,REFUTES,NOT_ENOUGH_INFO
Anne Sullivan was born in April of 1866.,Anne Sullivan,born,April of 1866,April of 1866,P569,high,kg_exact_match,rule,,,,Anne Sullivan date of birth April of 1866,exact_match,,,,True,Anne Sullivan was born on April of 1866.,0.9964,0.0002,0.0034,SUPPORTS,0.9964,SUPPORTS,SUPPORTS,SUPPORTS
"Aleister Crowley was born on June 12, 1875.",Aleister Crowley,born,"June 12, 1875","June 12, 1875",P569,high,kg_exact_match,rule,,,,"Aleister Crowley date of birth June 12, 1875",exact_match,,,,True,"Aleister Crowley was born on June 12, 1875.",0.9937,0.001,0.0054,SUPPORTS,0.9937,REFUTES,REFUTES,SUPPORTS
Janelle Monáe is a singer and a songwriter in Hollywood.,Janelle Monáe,be,singer,singer,P106,high,kg_exact_match,rule,,,,Janelle Monáe occupation singer,exact_match,,,,True,Janelle Monáe is a singer.,0.0007,0.0002,0.9991,NOT_ENOUGH_INFO,0.9991,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Omar Khadr was a basketball player.,Omar Khadr,be,basketball player,basketball player,P106,high,kg_exact_match,rule,,,,Omar Khadr occupation basketball player,exact_match,,,,True,Omar Khadr is a basketball player.,0.9836,0.0004,0.016,SUPPORTS,0.9836,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
Bad Romance is a single.,Bad Romance,be,single,single,P106,high,kg_exact_match,rule,,,,Bad Romance occupation single,exact_match,,,,True,Bad Romance is a single.,0.993,0.0006,0.0065,SUPPORTS,0.993,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
Rupert Murdoch is the Chairman of FOX News.,Rupert Murdoch,be,chairman,chairman,P106,high,kg_exact_match,rule,,,,Rupert Murdoch occupation chairman,exact_match,,,,True,Rupert Murdoch is a chairman.,0.0015,0.0001,0.9984,NOT_ENOUGH_INFO,0.9984,REFUTES,REFUTES,NOT_ENOUGH_INFO
Creedence Clearwater Revival was a string quartet.,Clearwater Revival,be,string quartet,string quartet,P106,high,kg_exact_match,rule,,,,Clearwater Revival occupation string quartet,exact_match,,,,True,Clearwater Revival is a string quartet.,0.0088,0.0067,0.9845,NOT_ENOUGH_INFO,0.9845,REFUTES,REFUTES,NOT_ENOUGH_INFO
Peking University is in Thailand.,Peking University,be,Thailand,Thailand,P131,medium,kg_exact_match,rule,,,,Peking University located in Thailand,exact_match,,,,True,Peking University is located in Thailand.,0.9943,0.0004,0.0053,SUPPORTS,0.9943,REFUTES,REFUTES,SUPPORTS
Michael Vick is only Armenian.,Michael Vick,be,Armenia,Armenia,P27,high,kg_exact_match,rule,,,,Michael Vick country of citizenship Armenia,exact_match,,,,True,Michael Vick is a citizen of Armenia.,0.0126,0.0012,0.9863,NOT_ENOUGH_INFO,0.9863,REFUTES,REFUTES,NOT_ENOUGH_INFO
James Jones won a contest.,James Jones,won,a contest,contest,P166,high,kg_exact_match,rule,,,,James Jones P166 contest,exact_match,,,,True,James Jones P166 contest,0.0067,0.0005,0.9928,NOT_ENOUGH_INFO,0.9928,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Lost was on FOX.,Lost,be,FOX,FOX,P463,high,kg_exact_match,semantic_assist,,be on organization,,Lost member of FOX,exact_match,,,,True,Lost is a member of FOX.,0.9827,0.0003,0.0169,SUPPORTS,0.9827,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
Robert Palmer (writer) has written for the New York Times.,Robert Palmer,appositive,,,P106,high,kg_exact_match,rule,,,writer,,exact_match,,,,False,,,,,NOT_ENOUGH_INFO,,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Anne Rice was born in 1997.,Anne Rice,born,1997,1997,P569,high,kg_exact_match,rule,,,,Anne Rice date of birth 1997,exact_match,,,,True,Anne Rice was born on 1997.,0.9962,0.0002,0.0037,SUPPORTS,0.9962,REFUTES,REFUTES,SUPPORTS
"On February 2, 2013, Chris Kyle died.",Chris Kyle,died,"February 2, 2013","February 2, 2013",P570,high,kg_exact_match,rule,,,,"Chris Kyle date of death February 2, 2013",exact_match,,,,True,"Chris Kyle died on February 2, 2013.",0.9972,0.0002,0.0026,SUPPORTS,0.9972,SUPPORTS,SUPPORTS,SUPPORTS
Janelle Monáe is part of a record label.,Janelle Monáe,be,a record label,record label,P361,high,kg_exact_match,rule,,,,Janelle Monáe part of record label,exact_match,,,,True,Janelle Monáe is part of record label.,0.9961,0.0001,0.0037,SUPPORTS,0.9961,SUPPORTS,SUPPORTS,SUPPORTS
Soyuz was part of a space program.,Soyuz,be,a space program,space program,P361,high,kg_exact_match,rule,,,,Soyuz part of space program,exact_match,,,,True,Soyuz is part of space program.,0.9919,0.0003,0.0079,SUPPORTS,0.9919,SUPPORTS,SUPPORTS,SUPPORTS
Bhagat Singh was not a folk hero.,Bhagat Singh,be,folk hero,folk hero,P106,high,kg_exact_match,rule,,,,Bhagat Singh occupation folk hero,exact_match,,,,True,Bhagat Singh is a folk hero.,0.0002,0.9994,0.0004,REFUTES,0.9994,REFUTES,REFUTES,REFUTES
Danielle Cormack is an actress.,Danielle Cormack,be,actress,actress,P106,high,kg_exact_match,rule,,,,Danielle Cormack occupation actress,exact_match,,,,True,Danielle Cormack is an actress.,0.9937,0.0003,0.0061,SUPPORTS,0.9937,SUPPORTS,SUPPORTS,SUPPORTS
Rob Sheridan is a Canadian graphic designer.,Rob Sheridan,be,graphic designer,graphic designer,P106,high,kg_exact_match,rule,,,,Rob Sheridan occupation graphic designer,exact_match,,,,True,Rob Sheridan is a graphic designer.,0.0009,0.0001,0.999,NOT_ENOUGH_INFO,0.999,REFUTES,REFUTES,NOT_ENOUGH_INFO
Angela Bassett is alive.,Angela Bassett,be,alive,alive,P106,high,kg_exact_match,rule,,,,Angela Bassett occupation alive,exact_match,,,,True,Angela Bassett is an alive.,0.9975,0.0001,0.0023,SUPPORTS,0.9975,SUPPORTS,SUPPORTS,SUPPORTS
Joe Walsh was inducted into the New Museum.,Joe Walsh,induct,New Museum,New Museum,P463,high,kg_exact_match,semantic_assist,,induct into organization be,,Joe Walsh member of New Museum,exact_match,,,,True,Joe Walsh is a member of New Museum.,0.0249,0.0001,0.9751,NOT_ENOUGH_INFO,0.9751,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Michael Vick is an American.,Michael Vick,be,United States,United States,P27,high,kg_exact_match,rule,,,,Michael Vick country of citizenship United States,exact_match,,,,True,Michael Vick is a citizen of United States.,0.9808,0.0002,0.019,SUPPORTS,0.9808,SUPPORTS,SUPPORTS,SUPPORTS
Ashley Cole plays for the Portland Timbers.,Ashley Cole,played_in,Portland Timbers,Portland Timbers,P463,high,kg_exact_match,semantic_assist,,play for organization,,Ashley Cole member of Portland Timbers,exact_match,,,,True,Ashley Cole is a member of Portland Timbers.,0.9885,0.0001,0.0114,SUPPORTS,0.9885,REFUTES,REFUTES,SUPPORTS
"Bessie Smith was born breach on April 15, 1894.",Bessie Smith,born,"April 15, 1894","April 15, 1894",P569,high,kg_exact_match,rule,,,,"Bessie Smith date of birth April 15, 1894",exact_match,,,,True,"Bessie Smith was born on April 15, 1894.",0.0051,0.0125,0.9824,NOT_ENOUGH_INFO,0.9824,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Michaela Watkins is British.,Michaela Watkins,be,United Kingdom,United Kingdom,P27,high,kg_exact_match,rule,,,,Michaela Watkins country of citizenship United Kingdom,exact_match,,,,True,Michaela Watkins is a citizen of United Kingdom.,0.9865,0.0002,0.0133,SUPPORTS,0.9865,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
Chaka Khan has released at least five studio albums.,Chaka Khan,released,Chaka Khan,Chaka Khan,P264,high,kg_exact_match,semantic_assist,,release,,Chaka Khan record label Chaka Khan,exact_match,,,,True,Chaka Khan is signed to Chaka Khan.,0.0006,0.0001,0.9993,NOT_ENOUGH_INFO,0.9993,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Taylor Lautner appeared on Modern Family.,Taylor Lautner,appeared_in,Modern Family,Modern Family,P463,high,kg_exact_match,semantic_assist,,appear on organization,,Taylor Lautner member of Modern Family,exact_match,,,,True,Taylor Lautner is a member of Modern Family.,0.9592,0.0028,0.038,SUPPORTS,0.9592,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
Liverpool is in Europe.,Liverpool,be,Europe,Europe,P131,medium,kg_exact_match,rule,,,,Liverpool located in Europe,exact_match,,,,True,Liverpool is located in Europe.,0.9948,0.0002,0.005,SUPPORTS,0.9948,SUPPORTS,SUPPORTS,SUPPORTS
Brad Wilk was a member of Greta in 1980.,Brad Wilk,be,Greta,Greta,P463,high,kg_exact_match,rule,,,,Brad Wilk member of Greta,exact_match,,,,True,Brad Wilk is a member of Greta.,0.0002,0.0003,0.9995,NOT_ENOUGH_INFO,0.9995,REFUTES,REFUTES,NOT_ENOUGH_INFO
Ron Weasley is part of the Harry Potter series as the eponymous wizard's best friend.,Ron Weasley,be,the Harry Potter series,Harry Potter series,P361,high,kg_exact_match,rule,,,,Ron Weasley part of Harry Potter series,exact_match,,,,True,Ron Weasley is part of Harry Potter series.,0.0002,0.0004,0.9994,NOT_ENOUGH_INFO,0.9994,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Taran Killam is a stage actor.,Taran Killam,be,actor,actor,P106,high,kg_exact_match,rule,,,,Taran Killam occupation actor,exact_match,,,,True,Taran Killam is an actor.,0.0071,0.0001,0.9927,NOT_ENOUGH_INFO,0.9927,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Kim Jong-il works for the Eternal Chairman of the National Defence Commission.,Kim Jong-il,worked,the Eternal Chairman of the National Defence Commission,Eternal Chairman of the National Defence Commission,P463,high,kg_exact_match,rule,,,,Kim Jong-il member of Eternal Chairman of the National Defence Commission,exact_match,,,,True,Kim Jong-il is a member of Eternal Chairman of the National Defence Commission.,0.9796,0.0008,0.0196,SUPPORTS,0.9796,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
Scotty Moore was a vegetarian.,Scotty Moore,be,vegetarian,vegetarian,P106,high,kg_exact_match,rule,,,,Scotty Moore occupation vegetarian,exact_match,,,,True,Scotty Moore is a vegetarian.,0.9903,0.0002,0.0095,SUPPORTS,0.9903,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
Richard Dawkins has been awarded prestigious sports awards.,Richard Dawkins,award,prestigious sports awards,prestigious sports awards,P166,high,kg_exact_match,semantic_assist,,award be,,Richard Dawkins P166 prestigious sports awards,exact_match,,,,True,Richard Dawkins P166 prestigious sports awards,0.9925,0.0003,0.0072,SUPPORTS,0.9925,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
Tilda Swinton is only Scottish.,Tilda Swinton,be,United Kingdom,United Kingdom,P27,high,kg_exact_match,rule,,,,Tilda Swinton country of citizenship United Kingdom,exact_match,,,,True,Tilda Swinton is a citizen of United Kingdom.,0.0006,0.9632,0.0361,REFUTES,0.9632,REFUTES,REFUTES,REFUTES
Duane Chapman is an American citizen.,Duane Chapman,be,citizen,citizen,P106,high,kg_exact_match,rule,,,,Duane Chapman occupation citizen,exact_match,,,,True,Duane Chapman is a citizen.,0.0042,0.0001,0.9958,NOT_ENOUGH_INFO,0.9958,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Rob Sheridan is from Alaska.,Rob Sheridan,be,Alaska,Alaska,P27,high,kg_exact_match,rule,,,,Rob Sheridan country of citizenship Alaska,exact_match,,,,True,Rob Sheridan is a citizen of Alaska.,0.9952,0.0001,0.0047,SUPPORTS,0.9952,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
José Ferrer was a director.,José Ferrer,be,director,director,P106,high,kg_exact_match,rule,,,,José Ferrer occupation director,exact_match,,,,True,José Ferrer is a director.,0.9861,0.0006,0.0133,SUPPORTS,0.9861,SUPPORTS,SUPPORTS,SUPPORTS
Anne Rice was born in Japan.,Anne Rice,born,Japan,Japan,P19,high,kg_exact_match,rule,,,,Anne Rice place of birth Japan,exact_match,,,,True,Anne Rice was born in Japan.,0.9953,0.0004,0.0043,SUPPORTS,0.9953,REFUTES,REFUTES,SUPPORTS
Carlos Santana is a US president.,Carlos Santana,be,president,president,P106,high,kg_exact_match,rule,,,,Carlos Santana occupation president,exact_match,,,,True,Carlos Santana is a president.,0.0029,0.0001,0.997,NOT_ENOUGH_INFO,0.997,REFUTES,REFUTES,NOT_ENOUGH_INFO
Yara Shahidi is a dog.,Yara Shahidi,be,dog,dog,P106,high,kg_exact_match,rule,,,,Yara Shahidi occupation dog,exact_match,,,,True,Yara Shahidi is a dog.,0.9927,0.0005,0.0068,SUPPORTS,0.9927,REFUTES,REFUTES,SUPPORTS
Carlos Santana is both American and Mexican.,Carlos Santana,be,United States,United States,P27,high,kg_exact_match,rule,,,,Carlos Santana country of citizenship United States,exact_match,,,,True,Carlos Santana is a citizen of United States.,0.0032,0.0021,0.9946,NOT_ENOUGH_INFO,0.9946,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Trevor Griffiths was born in an inner city area of Boston.,Trevor Griffiths,born,Boston,Boston,P19,high,kg_exact_match,rule,,,,Trevor Griffiths place of birth Boston,exact_match,,,,True,Trevor Griffiths was born in Boston.,0.0029,0.0001,0.997,NOT_ENOUGH_INFO,0.997,REFUTES,REFUTES,NOT_ENOUGH_INFO
Jeong Hyeong-don was born in the 1970's.,Jeong Hyeong-don,born,1970,1970,P569,high,kg_exact_match,rule,,,,Jeong Hyeong-don date of birth 1970,exact_match,,,,True,Jeong Hyeong-don was born on 1970.,0.9874,0.0002,0.0124,SUPPORTS,0.9874,SUPPORTS,SUPPORTS,SUPPORTS
Taran Killam is a father.,Taran Killam,be,father,father,P106,high,kg_exact_match,rule,,,,Taran Killam occupation father,exact_match,,,,True,Taran Killam is a father.,0.9923,0.0006,0.0071,SUPPORTS,0.9923,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
Billie Joe Armstrong is from Georgia.,Billie Joe Armstrong,be,Georgia,Georgia,P27,high,kg_exact_match,rule,,,,Billie Joe Armstrong country of citizenship Georgia,exact_match,,,,True,Billie Joe Armstrong is a citizen of Georgia.,0.9938,0.0001,0.0061,SUPPORTS,0.9938,REFUTES,REFUTES,SUPPORTS
New Orleans Pelicans compete in the NBA.,New Orleans Pelicans,compete,NBA,NBA,P463,high,kg_exact_match,semantic_assist,,compete in organization,,New Orleans Pelicans member of NBA,exact_match,,,,True,New Orleans Pelicans is a member of NBA.,0.8197,0.0002,0.1801,SUPPORTS,0.8197,SUPPORTS,SUPPORTS,SUPPORTS
Rob Sheridan was born in 1979.,Rob Sheridan,born,1979,1979,P569,high,kg_exact_match,rule,,,,Rob Sheridan date of birth 1979,exact_match,,,,True,Rob Sheridan was born on 1979.,0.9958,0.0002,0.004,SUPPORTS,0.9958,SUPPORTS,SUPPORTS,SUPPORTS
Don Hall is a film critic.,Don Hall,be,film critic,film critic,P106,high,kg_exact_match,rule,,,,Don Hall occupation film critic,exact_match,,,,True,Don Hall is a film critic.,0.9951,0.0003,0.0046,SUPPORTS,0.9951,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
Danielle Cormack was born in May.,Danielle Cormack,born,May,May,P569,high,kg_exact_match,rule,,,,Danielle Cormack date of birth May,exact_match,,,,True,Danielle Cormack was born on May.,0.9955,0.0002,0.0043,SUPPORTS,0.9955,REFUTES,REFUTES,SUPPORTS
José Ferrer was a person.,José Ferrer,be,person,person,P106,high,kg_exact_match,rule,,,,José Ferrer occupation person,exact_match,,,,True,José Ferrer is a person.,0.9709,0.0011,0.028,SUPPORTS,0.9709,SUPPORTS,SUPPORTS,SUPPORTS
Thomas Jefferson is incapable of being a presidential scholar.,Thomas Jefferson,be,president,president,P106,high,kg_exact_match,rule,,,,Thomas Jefferson occupation president,exact_match,,,,True,Thomas Jefferson is a president.,0.0001,0.9992,0.0007,REFUTES,0.9992,NOT ENOUGH INFO,NOT_ENOUGH_INFO,REFUTES
Don Hall is a film writer.,Don Hall,be,writer,writer,P106,high,kg_exact_match,rule,,,,Don Hall occupation writer,exact_match,,,,True,Don Hall is a writer.,0.0003,0.0002,0.9994,NOT_ENOUGH_INFO,0.9994,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
